Type,Value
WT 30nM CTL,1
WT 30nM CTL,1
WT 30nM CTL,1
WT 30nM siTTC7A,0.442597614
WT 30nM siTTC7A,0.565931982
WT 30nM siTTC7A,0.217312565
Ts13 30nM CTL,1
Ts13 30nM CTL,1
Ts13 30nM CTL,1
Ts13 30nM siTTC7A,0.228835847
Ts13 30nM siTTC7A,0.336700755
Ts13 30nM siTTC7A,0.341272221
