type,value
DLD1 WT siCTL,1
DLD1 WT siCTL,1
DLD1 WT siCTL,1
DLD1 WT siKLF5,0.320046
DLD1 WT siKLF5,0.354766
DLD1 WT siKLF5,0.410667
