type,value
DLD1 Ts13 siCTL,1
DLD1 Ts13 siCTL,1
DLD1 Ts13 siCTL,1
DLD1 Ts13 siKLF5,0.283915
DLD1 Ts13 siKLF5,0.506823
DLD1 Ts13 siKLF5,0.32167
