Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.7494373593398349,0.7032249619577264,0.7209302325581395,0.6865385544617754,0.5701425356339085,0.5167004835695718,0.7201800450112529,0.6845175611430176,0.7164291072768192,0.6772708155610427
2,0.7786946736684172,0.7605430013931238,0.722430607651913,0.6920274223425429,0.5191297824456115,0.4252647584509289,0.6909227306826707,0.6462680968983825,0.6976744186046512,0.7013947171058188
3,0.6489122280570142,0.5377638676136018,0.6804201050262566,0.6138042835052961,0.5588897224306076,0.45423395045283754,0.6406601650412603,0.5613262642119932,0.6522880720180045,0.581411527868439
4,0.803450862715679,0.7619287896311365,0.7771942985746436,0.7106847319013371,0.6729182295573893,0.5161925730955459,0.7539384846211553,0.6418326179415647,0.7333083270817705,0.623151278579267
5,0.8042010502625656,0.7509422724859146,0.781695423855964,0.7308588615336706,0.68192048012003,0.5373125835923236,0.8027006751687922,0.7396381024867845,0.7895723930982745,0.7458325072199548
6,0.7209302325581396,0.6245941417603474,0.708927231807952,0.6169554569869303,0.5453863465866466,0.4412789185421607,0.6459114778694675,0.5365375357093358,0.6931732933233308,0.5774437720598632
7,0.6819204801200301,0.6349220610811115,0.7449362340585147,0.6573871416734894,0.6256564141035259,0.5692269230548475,0.6714178544636159,0.6047726691088084,0.7014253563390848,0.5822658756790808
8,0.7410852713178295,0.6465479204266537,0.727906976744186,0.6119377193909418,0.4868217054263566,0.40582856789112093,0.6844961240310078,0.5476871835188991,0.7410852713178294,0.6082048304259796
9,0.8007751937984496,0.7292485604761839,0.7713178294573644,0.6699284292053129,0.5651162790697675,0.510264858203796,0.7496124031007751,0.6197191710446559,0.8147286821705426,0.7152947058642338
10,0.6813953488372092,0.6365227167486303,0.6844961240310077,0.5733917872935982,0.5131782945736434,0.4105515479571843,0.7333333333333334,0.7005596796674729,0.6759689922480621,0.5318241482050462
Average,0.7410802700675169,0.678623829357443,0.7320255063765941,0.6563514388294894,0.5739159789947487,0.4786855164810317,0.7093173293323332,0.6282858881730915,0.7215653913478369,0.6344094178568725
