Type,Value
WT CTL,1
WT CTL,1
WT CTL,1
WT siKLF5,0.468652
WT siKLF5,0.494414
WT siKLF5,0.485371605
Ts13 CTL,1
Ts13 CTL,1
Ts13 CTL,1
Ts13 siKLF5,0.347706
Ts13 siKLF5,0.323104
Ts13 siKLF5,0.313977
