Instance,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
LAML-1p,-0.13569947,-2.1634579,0.08726476,-0.600302,-0.2542477,-0.89275,-1.0797269,0.011325378,-0.13566734,-0.060254343,-0.18552473,0.022426533,-0.054852486,0.3439321,0.0063542277,-0.14704025,-0.13251808,0.05791597,0.34936622,-1.2009332
LGG-1p,0.22542305,0.26893002,0.0033358098,0.276438,0.0805295,-0.33445686,0.6964109,0.010989682,-0.07361084,-0.042024374,0.4457276,0.3570924,0.12213266,0.97305846,0.5749599,0.13143706,0.023926588,0.09750153,0.12557188,0.28972667
LIHC-1p,-0.06872779,0.06306045,0.37799025,0.21194077,0.33262506,-0.70167226,-0.033699814,0.19594884,0.22464009,0.97977424,1.0224762,0.23249403,0.05209959,0.839775,0.5629816,-0.035487603,-0.07197994,0.18580134,-0.016612722,-0.569862
LUSC-1p,0.22742239,-0.013089091,0.051880434,0.23470648,0.3190097,0.019311506,0.40712726,0.08649105,0.77593786,-0.27054542,-0.04208661,0.041874435,-0.0147805605,0.85014814,0.36569577,-0.036456272,-0.015365839,0.008507249,0.5311528,0.49961144
PAAD-1p,0.09893647,-0.06029613,0.11196958,-0.19896932,-0.07741023,-0.89949876,0.035731256,0.058983598,0.53898376,-0.09454859,-0.14547321,-0.046647087,-0.047659554,1.0188138,0.5315145,0.2142633,0.06905582,0.2752706,0.7953891,0.9089954
PRAD-1p,0.0631141,0.07275699,0.027517166,-0.09544848,0.2584355,0.45187727,-0.029871432,0.08977134,-0.66421753,0.6036972,-0.088981405,0.012456409,-0.047433257,0.97926736,0.5835272,-0.28152448,1.1367955,0.01808093,0.20361708,0.05628343
SKCM-1p,0.033475585,-0.2616787,-0.38724756,0.23065434,-0.07143957,-1.1482924,0.10492409,0.045017,-0.26951575,-0.4700796,-0.16362622,-0.025910076,-0.10623293,0.27232572,0.39312378,0.09513385,0.09953524,0.04745873,-0.08360982,-0.29233804
STAD-1p,0.27281016,-0.061302416,0.4308131,-0.23119675,-0.09549778,0.08558355,-0.029452106,0.08322127,-0.18471263,-0.13480881,-0.1508175,-0.018471796,-0.01019334,0.88496584,0.20321877,-1.5431727,-0.0077186828,-0.12300118,-0.6194081,-1.0308104
TGCT-1p,0.62464297,-1.4779142,0.013178462,-0.009547049,-0.13404992,-0.84230727,0.37826145,-0.24487841,-0.06561549,-0.19628195,-0.1909855,0.123987496,0.02860793,0.095938966,0.1403073,-0.22779132,-0.028644,-0.091950364,0.14000966,-1.0279475
THYM-1p,-0.21692307,0.17217243,-0.28408137,-0.5145264,-0.9806291,0.20553504,-0.3414193,0.07971938,-0.07208775,-0.12473585,-0.1983283,0.012081704,-0.057768393,0.9541166,0.1404303,-0.06605802,0.3284949,-0.054474138,-0.7424889,-1.3107939
UCEC-1p,-0.1297542,0.02866877,-0.11611416,-0.18859027,-0.56505436,0.1302417,0.16795062,0.07155764,0.046786644,-0.14647649,-0.18543604,0.0038567155,-0.0450286,0.4844836,0.19943018,-1.9692651,-0.046484508,-0.22740956,0.00059495866,-0.7447234
UCS-1p,-0.068604834,0.022297578,-0.10223728,-0.15152116,-0.59925,0.09608328,0.15055263,0.073035866,0.021177638,-0.123617664,-0.17224534,0.003153792,-0.024879066,0.4190164,0.25172114,-1.937749,-0.06613124,-0.22876321,-0.24962498,-0.009497039
ACC-6q,-0.43440363,-0.9160761,-0.14691949,-0.23666324,0.021191563,-1.0083857,-0.08480984,0.04981294,-0.24132332,-0.15536955,-0.2647953,-0.024589881,-0.101448655,0.7189322,0.3362505,-0.10847472,-0.06029977,0.036887374,0.39805284,-0.70442533
BLCA-6q,-0.021994764,0.11974314,0.23425123,-0.050361775,-0.008463327,-0.37299198,0.025338449,0.0723209,0.7745486,1.1992636,-0.15208733,-0.016486626,-0.039138805,0.4866128,0.8912949,0.25553218,-0.0064394884,0.10583847,0.15375052,-0.024063224
BRCA-6q,0.40319666,0.24506357,0.35225207,-0.14547227,0.2702539,0.66495043,-0.011652171,0.084659345,0.36002815,0.14839995,-0.104747444,0.009541334,-0.05055675,0.73388904,0.6526412,0.90675527,-0.492987,0.06615364,-0.082768895,1.598746
CESC-6q,0.06427008,0.30356386,0.60524505,-0.059750266,0.09364955,0.7456878,-0.032012347,0.07893015,-0.043332968,-0.022564484,-0.14535335,0.008443789,-0.03964658,0.49870417,0.6261371,0.26634118,0.02534667,0.032428745,-0.038534433,0.42972448
COAD-6q,-0.64352906,-0.5269764,0.0820247,-0.22287138,-0.020915557,0.51201016,-0.05100963,0.090359345,-0.21042357,-0.07609798,-0.18019964,0.008573613,-0.037544005,0.78183645,0.23016104,-1.4089667,0.17851968,-0.11097989,-0.6826478,-0.5749516
ESCA-6q,-0.5373559,-0.21263984,-0.119514294,0.091766715,-0.021256965,0.14109069,-0.04535112,0.07953212,-0.10969202,0.04737228,-0.14190488,0.004249437,-0.03376656,0.38007227,0.30331588,-1.4289219,-0.48975864,-0.060665216,-0.3147206,-0.2432016
GBM-6q,0.6123055,0.09515648,0.5088017,-0.17738694,0.4072765,-0.6206159,0.22577843,-0.0006232364,-0.12015522,-0.06456128,0.32359138,0.40364277,0.10186012,1.1535308,0.71135867,0.3235882,0.018839937,0.11534736,0.0905397,-0.008354817
KICH-6q,-0.07510434,0.15622365,0.43527967,-0.13148029,-0.009091038,0.22065349,-0.03175131,-0.18438992,-0.19342989,-0.09654343,0.84325755,-0.05050338,0.08066044,0.8365629,0.44182292,0.49431652,-0.36854503,-0.035125207,-0.19669403,0.08977266
KIRC-6q,-0.16191553,0.21151453,0.47463655,-0.24103327,-0.09308538,0.1625584,-0.0034631179,-0.21554573,-0.097796,0.08523127,1.320704,-0.21579215,-0.02860201,0.83917534,0.55833197,0.2352409,-0.22462495,-0.030913392,0.32090858,0.60000646
KIRP-6q,-0.14587021,0.08135704,0.4291697,-0.18245517,-0.09449708,0.098799475,-0.03821901,-0.16159241,-0.114210054,-0.10200337,1.0906968,-0.22546022,0.03991665,0.76221675,0.3303912,0.16336164,-0.5673888,-0.044750866,-0.3644862,-2.1241007
LAML-6q,-0.09941773,-2.147702,-0.053824075,-0.5014925,-0.32166258,-1.1373407,-0.50525117,0.014252285,-0.19137649,-0.14970605,-0.147623,0.009221532,-0.05217841,0.34706068,-0.17798051,0.042775877,-0.073971584,0.11450005,0.010663174,0.055944826
LGG-6q,0.58682656,0.13024275,0.5963927,-0.23915893,0.47914243,-0.5800698,0.2197059,-0.0006232364,-0.086491354,0.039015874,0.32375148,0.40364277,0.10186012,1.0681353,0.6851974,0.3437112,0.04801757,0.08985416,0.11675271,0.374878
LIHC-6q,-0.02309101,0.117985286,-0.20041423,-0.5317607,0.1554564,-0.34391347,0.32977393,-0.032988377,0.29672143,1.0621395,1.5441971,0.26580036,0.017612554,0.7463259,0.5040246,0.25830004,-0.24044369,0.19394258,0.043733653,-0.12698041
LUAD-6q,-0.2043935,-0.026442004,-0.01256419,0.20781727,0.33135355,0.06293631,0.09559377,0.08075536,0.7755114,-0.5121681,-0.065416686,0.021328513,-0.024760477,0.6825669,0.5495351,0.3067462,-0.16878466,0.050803248,0.00923579,1.1575003
LUSC-6q,-0.37001738,-0.13470528,-0.2551685,0.15373465,0.12261008,-0.025162179,0.032373633,0.06367348,0.54120076,-0.49646422,-0.096167676,0.020078437,-0.024760477,0.25443783,0.38613915,0.08750561,-0.257207,-0.009109029,-0.000365254,-2.0445175
OV-6q,0.8659465,0.103141166,0.28017947,0.07476289,0.12675518,-0.6626439,0.30863297,0.09091502,0.4459668,-0.30884516,2.1231382,-0.021314759,-0.043183133,0.7270746,0.6953577,0.2692995,0.08000959,0.10464343,0.047579557,-0.19867016
PAAD-6q,0.029101193,0.09252334,-0.1129221,-0.32598332,-0.12920696,0.56482047,0.08601589,0.080049306,0.4707864,0.3352657,-0.13825738,0.010349313,-0.011907827,0.524152,0.59536594,0.07376135,0.07709658,0.31555286,-0.09645082,0.04838991
PRAD-6q,0.19644338,0.26894882,0.11799319,0.33301303,0.4060832,0.28212896,-0.05668872,0.10484117,-0.32122666,-0.095546216,-0.059322007,0.013703062,-0.031597655,1.1261654,0.5796398,0.83354706,0.70786697,-0.09051885,-0.21062933,-0.84875995
SKCM-6q,0.2308848,-0.12687571,-0.45116737,-0.08343175,0.46578935,-0.36439723,0.14365074,0.06190305,0.20453043,-0.29233566,-0.098519675,0.00294449,-0.048223898,0.8237102,0.43908727,0.41813487,0.71852696,0.3399745,0.16349702,1.1675538
STAD-6q,0.060109507,0.015184803,0.10517622,-0.076466724,-0.2732072,0.41176206,0.0015784473,0.08370967,-0.110666595,-0.013984201,-0.14448045,-0.0003257508,-0.029780867,0.3992439,0.50447834,-0.19239593,-0.03796446,-0.045077845,-0.53192973,-2.593471
TGCT-6q,0.5143857,-1.3789513,-0.1368048,0.15784074,-0.32584706,-0.8922422,-0.60459644,-0.012134311,-0.11950385,-0.17475785,0.028144993,0.09806652,0.10141834,0.080242805,0.029288467,-0.22408804,-0.10441167,-0.05358176,-0.32900938,-1.6251484
