type,value
in group,12.3231
in group,12.9902
in group,12.8475
in group,13.6124
in group,13.2695
in group,13.9863
in group,13.1556
in group,13.2025
in group,14.0235
in group,13.0436
in group,13.037
in group,11.4429
in group,12.8938
in group,12.9979
in group,13.4004
in group,13.5312
in group,11.8131
in group,12.2842
in group,12.7141
in group,13.4954
in group,13.1341
in group,13
in group,13.5571
in group,13.3955
in group,13.5936
in group,13.5102
in group,13.3712
in group,11.9769
in group,12.9298
in group,13.4851
in group,13.2757
out group,5.9
out group,4.06
out group,4.59
out group,5.94
out group,3.14
out group,2.64
out group,8.96
out group,4.63
out group,4.94
out group,10.72
out group,4.18
out group,3.05
out group,2.73
out group,4.45
out group,4.35
out group,3.48
out group,4.43
out group,5.17
out group,4.16
out group,7.5
out group,4.1
out group,6.68
out group,3.6
out group,3.17
out group,3.6
out group,5.01
out group,5.74
out group,3.41
out group,4.88
out group,3.5
out group,4.58
out group,4.32
out group,3.56
out group,3.27
out group,4.44
out group,5.6
out group,3.79
out group,2.71
out group,4.31
out group,4
out group,5.37
out group,2.95
out group,3.78
out group,4.4
out group,3.8
out group,4.07
out group,4.85
out group,3.57
out group,3.31
out group,5.4
out group,6.06
out group,5.26
out group,4.27
out group,5.46
out group,5.22
out group,3.43
out group,3.39
out group,2.96
out group,3.67
out group,6.32
out group,4.54
out group,4.01
out group,3.86
out group,5.87
out group,4.95
out group,3.89
out group,4.34
out group,4.08
out group,4.34
out group,2.68
out group,4.42
out group,4.85
out group,5.34
out group,6.86
out group,3.22
out group,3.88
out group,4.43
out group,5.6
out group,5.5
out group,14.28
out group,13.02
out group,14.01
out group,14.83
out group,13.76
out group,10.2
out group,13.21
out group,12.54
out group,14.24
out group,12.48
out group,12.85
out group,12.88
out group,11.34
out group,12.86
out group,11.93
out group,12.5
out group,11.93
out group,12.03
out group,10.04
out group,11.48
out group,12.55
out group,13.8
out group,12.25
out group,12.82
out group,12.46
out group,6.39
out group,12.56
out group,7.23
out group,11.52
out group,9.68
out group,12.59
out group,12.88
out group,11.97
out group,12.55
out group,7.96
out group,7.47
out group,13.12
out group,13.13
out group,6.5
out group,11.61
out group,7.56
out group,13.58
out group,13.91
out group,13.43
out group,12.13
out group,12.8
out group,12.15
out group,13.66
out group,6.78
out group,14.25
out group,11.73
out group,14.25
out group,12
out group,12.91
out group,11.45
out group,11.83
out group,12.25
out group,12.23
out group,11.88
out group,6.85
out group,11.46
out group,12.44
out group,12.43
out group,13.31
out group,13.21
out group,13.57
out group,13.86
out group,12.1
out group,13.37
out group,12.75
out group,13.37
out group,12.06
out group,13.28
out group,12.57
out group,12.9
out group,14.13
out group,13.58
out group,13.36
out group,13.26
out group,12.86
out group,13.33
out group,12.95
out group,12.58
out group,13.43
out group,13.5
out group,13.66
out group,13.36
out group,6.09
out group,13.21
out group,12.38
out group,10.24
out group,12.99
out group,12.11
out group,13.41
out group,12.97
out group,13.3
out group,11.27
out group,11.3
out group,13.25
out group,13.23
out group,13.91
out group,13.77
out group,10.03
out group,12.61
out group,14.13
out group,12.55
out group,13.8
out group,13.61
out group,12.36
out group,10.58
out group,11.21
out group,11.23
out group,12.48
out group,12.36
out group,12.73
out group,10.87
out group,11.48
out group,14.88
out group,11.84
out group,13.01
out group,13.54
out group,13.58
out group,12.22
out group,7.62
out group,12.46
out group,14.3
out group,12.85
out group,13.05
out group,13.55
out group,13.5
out group,11.91
out group,13.31
out group,12.52
out group,12.72
out group,10.66
out group,13.92
out group,12.96
out group,13.63
out group,12.6
out group,8.85
out group,12.2
out group,11.44
out group,12.85
out group,14.02
out group,9.75
out group,11.27
out group,13.64
out group,13.56
out group,13.6
out group,13.19
out group,12.92
out group,14.1
out group,12.64
out group,12.95
out group,11.79
out group,12.79
out group,13.23
out group,12.61
out group,13.77
out group,11.43
out group,13.48
out group,14.12
out group,11.69
out group,12.98
out group,14.08
out group,10.16
out group,12.74
out group,13.46
out group,11.81
out group,12.69
out group,13.5
out group,12.47
out group,14.07
out group,12.82
out group,12.04
out group,14.14
out group,12.13
out group,10.41
out group,11.02
out group,13.46
out group,14.64
out group,12.59
out group,11.95
out group,12.28
out group,11.93
out group,10.72
out group,12.55
out group,9.55
out group,11.84
out group,12.39
out group,13.04
out group,12.11
out group,12.48
out group,11.77
out group,12.04
out group,13.36
out group,12.78
out group,12.85
out group,9.78
out group,10.01
out group,11.21
out group,13.05
out group,8.45
out group,13.36
out group,11.85
out group,12.57
out group,10.9
out group,9.1
out group,12.38
out group,11.24
out group,10.98
out group,13.38
out group,11.97
out group,12.86
out group,11.75
out group,13
out group,9.62
out group,12.37
out group,11.98
out group,12.9
out group,10.22
out group,11.39
out group,12.18
out group,14.03
out group,11.68
out group,6.73
out group,12.53
out group,11.94
out group,12.55
out group,11.54
out group,12.24
out group,13.18
out group,10.7
out group,12.62
out group,12.59
out group,13.46
out group,12.97
out group,11.5
out group,12.94
out group,7.93
out group,13.34
out group,12.44
out group,13.51
out group,13.94
out group,13.67
out group,13.6
out group,13.14
out group,12.84
out group,13.88
out group,13.06
out group,11.74
out group,11.59
out group,13.93
out group,11.71
out group,11.73
out group,12.13
out group,12.51
out group,14.63
out group,13.39
out group,13.66
out group,13.11
out group,12.84
out group,9.78
out group,11.85
out group,13.22
out group,13.19
out group,12.45
out group,14.39
out group,10.52
out group,12.96
out group,10.42
out group,10.47
out group,12.72
out group,12.5
out group,12.72
out group,13.52
out group,12.56
out group,13.28
out group,12.59
out group,12.54
out group,13.53
out group,9.34
out group,13.3
out group,12.41
out group,13.52
out group,11.3
out group,13.15
out group,13.64
out group,12.64
out group,14.04
out group,12.06
out group,14.27
out group,14.08
out group,12.99
out group,11.49
out group,11.49
out group,11.4
out group,12.78
out group,13.71
out group,12.5
out group,11.82
out group,14.17
out group,7.54
out group,13.23
out group,12.04
out group,6.73
out group,13.63
out group,13.94
out group,11.39
out group,12.9
out group,13.3
out group,13.74
out group,13.28
out group,12.77
out group,12.95
out group,12.49
out group,11.86
out group,12.56
out group,13.64
out group,13.39
out group,12.8
out group,12.27
out group,12.54
out group,11.95
out group,14.13
out group,10.84
out group,12.01
out group,12.55
out group,10.35
out group,11.94
out group,13.93
out group,12.62
out group,13.25
out group,10.8
out group,12.3
out group,11.55
out group,13.52
out group,9.61
out group,12.24
out group,12.02
out group,12.48
out group,13.36
out group,12.64
out group,13.03
out group,12.18
out group,13.4
out group,12.77
out group,12.99
out group,12.32
out group,13.66
out group,13.28
out group,10.43
out group,10.7
out group,12.42
out group,11.69
out group,10.56
out group,11.26
out group,9.71
out group,11.79
out group,12.63
out group,10.35
out group,10.33
out group,9.81
out group,11.96
out group,12.95
out group,11.76
out group,11.29
out group,13.12
out group,11.38
out group,11.22
out group,12.82
out group,11.42
out group,9.6
out group,11.73
out group,10.8
out group,12.65
out group,13.86
out group,12.3
out group,12.68
out group,12.09
out group,12.99
out group,12.94
out group,12.69
out group,13.62
out group,12.12
out group,13.69
out group,13.33
out group,7.6
out group,13.14
out group,9.28
out group,7.33
out group,12.71
out group,12.45
out group,9.88
out group,13.21
out group,13.29
out group,12.45
out group,14.29
out group,13.93
out group,12.37
out group,13.34
out group,13.29
out group,12.48
out group,12.36
out group,12.33
out group,12.04
out group,13.69
out group,9.11
out group,13.03
out group,12.58
out group,9.83
out group,12.33
out group,12.01
out group,12.02
out group,13.85
out group,10.99
out group,11.68
out group,13.04
out group,11.38
out group,11.4
out group,9.57
out group,6.51
out group,13.71
out group,7.9
out group,12.03
out group,9.83
out group,10.27
out group,5.25
out group,7.23
out group,5.55
out group,6.38
out group,4.38
out group,6.49
out group,5.4
out group,5.28
out group,5.17
out group,4.88
out group,4.81
out group,6.08
out group,4.43
out group,5.42
out group,3.31
out group,6.28
out group,9.16
out group,4.9
out group,5.25
out group,6.09
out group,4.77
out group,6.59
out group,4.22
out group,5.64
out group,5.18
out group,4.85
out group,4.04
out group,4.98
out group,6.53
out group,4.71
out group,7.36
out group,5.89
out group,4.71
out group,7.2
out group,6.23
out group,8.33
out group,6.3
out group,5.68
out group,5.25
out group,5.49
out group,6.16
out group,4.61
out group,6.06
out group,5.8
out group,5.11
out group,6.44
out group,6.2
out group,8.62
out group,9.96
out group,11.36
out group,11.31
out group,9.97
out group,11
out group,11.52
out group,11.29
out group,11.98
out group,9.14
out group,10.45
out group,11.86
out group,10.17
out group,11.98
out group,10.73
out group,10.55
out group,11.98
out group,10.25
out group,11.97
out group,11.08
out group,11.02
out group,10.03
out group,11.74
out group,10.07
out group,9.74
out group,9.72
out group,10.94
out group,10.2
out group,10.19
out group,11
out group,8.1
out group,11.95
out group,8.21
out group,12.65
out group,11.6
out group,11.49
out group,10.79
out group,11.15
out group,11.67
out group,11.35
out group,10.08
out group,11.33
out group,12.76
out group,9.74
out group,11.18
out group,11.42
out group,10.55
out group,10.21
out group,11.1
out group,11.57
out group,11.75
out group,9.97
out group,10.99
out group,9.02
out group,8.87
out group,10.38
out group,10.84
out group,12.1
out group,6
out group,10.71
out group,11.5
out group,7.36
out group,7.43
out group,12.09
out group,7.67
out group,12.2
out group,10.08
out group,4.36
out group,10.94
out group,10.59
out group,10.32
out group,10.47
out group,11.52
out group,11.32
out group,12.7
out group,10.34
out group,10.77
out group,12.2
out group,10.26
out group,10.59
out group,10.11
out group,12.01
out group,12.48
out group,10.35
out group,10.25
out group,10.5
out group,10.64
out group,10.39
out group,11.49
out group,11.55
out group,11.36
out group,10.95
out group,10.79
out group,10.62
out group,9.35
out group,10.23
out group,9.23
out group,10.01
out group,7.29
out group,10.67
out group,11.62
out group,10.98
out group,7.02
