type,value
DLD1 WT siCTL,1.063506
DLD1 WT siCTL,0.87072
DLD1 WT siCTL,0.884251
DLD1 WT siCTL,1.023403
DLD1 Ts13 siCTL,0.98823
DLD1 Ts13 siCTL,0.83561
DLD1 Ts13 siCTL,0.940495
DLD1 Ts13 siCTL,1.080278
