Arm,Type,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols),Label
20q,ACC,0.4149586290779392,1.1299804729629392,1.0258404085279325,1.653134280397102,,1.4637907796773597,-1.0115838969448796,,,,,,0.7834125743348458,,,0.002890173,0.01734104,-0.15306907683946286,,0.12140575079872204,1
20q,BLCA,0.9319165062189767,1.0932297217474507,0.0,0.0,,,-0.5717419947687018,,,,,,0.9481460262381547,0.5438994988222736,2.35769879873999,0.002890173,0.01734104,-0.46941183564101946,-1.0112224273668804,0.12140575079872204,1
20q,BRCA,0.25133846098112395,1.3007328336799535,0.0253184841770916,0.3555795011093794,0.06400699999999995,1.5970846915740693,-0.26133096502216263,0.3237139345,,,,,0.12326981388998592,0.7690116567598588,0.9875619498017112,0.002890173,0.01734104,-0.8490231462028873,-0.6832583968695145,0.12140575079872204,1
20q,CESC,0.3977393644668634,0.8970377070168634,-0.16596618089565762,0.0809074454062842,,,-0.8219889085041293,,,,,,0.5018271690445693,,,0.002890173,0.01734104,-0.5643146632814864,,0.12140575079872204,1
20q,COAD,0.5108699852666606,1.238013445812104,0.308446696747309,0.9478529814384615,0.0478795,0.989758861960417,-0.6241532801914256,0.2511409988571428,,,,,0.07381083348670806,0.9865467077788419,1.4488015364330236,0.002890173,0.01734104,-0.5010461115211751,-0.027330335874779847,0.12140575079872204,1
20q,ESCA,0.506129137414207,1.0318226001678783,0.1827898671693677,0.0,0.0437519999999999,0.64424041475925,-0.3379382113160141,0.2680002325342466,,,,,0.36004803709737015,0.8576624440432322,0.8620930520291737,0.002890173,0.01734104,-0.2796061803600855,-0.027330335874779847,0.12140575079872204,1
20q,GBM,0.2192032362261348,1.311532618993814,1.1506982567958253,1.053726036045088,0.07841462499999997,1.5772588635680285,-1.0801185006073988,1.4299668091538462,1.6130367720886765,1.6527784808488364,1.7272893429451472,1.660520795213288,0.2018278896946386,,,0.002890173,0.01734104,-0.02653197331884023,,0.12140575079872204,1
20q,KICH,0.3392584009487816,1.4256171280403533,0.6827475361953987,2.146685721254808,,,-1.467553882887695,,0.88957206360638,1.131446168023279,1.3161216195848218,1.1918950567052895,0.6312414033975907,0.9485210373059313,1.0202252422740674,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,0
20q,KIRC,0.3392584009487816,1.4256171280403533,0.6827475361953987,2.146685721254808,,,-1.467553882887695,,0.88957206360638,1.131446168023279,1.3161216195848218,1.1918950567052895,0.16816478446710448,0.9485210373059313,1.0202252422740674,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,1
20q,KIRP,0.3392584009487816,1.4256171280403533,0.6827475361953987,2.146685721254808,,,-1.467553882887695,,0.88957206360638,1.131446168023279,1.3161216195848218,1.1918950567052895,0.3786093696468657,0.9485210373059313,1.0202252422740674,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,1
