Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.7046511627906977,0.6387639366653681,0.7476744186046511,0.6534048425447596,0.6523255813953489,0.4656011588256307,0.6837209302325582,0.5871702030676599,0.7430232558139535,0.6463191261852664
2,0.7023255813953488,0.6394256740929096,0.7511627906976744,0.6716066848924926,0.6616279069767442,0.4730247963455286,0.7418604651162791,0.6326739760852464,0.7145348837209302,0.5968486978111048
3,0.8104651162790698,0.6971058467328402,0.7930232558139535,0.5440046522864946,0.641860465116279,0.3639670363136739,0.8,0.6288175744761608,0.8168604651162791,0.706095262131404
4,0.8319767441860465,0.8480984842026706,0.8372093023255814,0.8216748444283983,0.6406976744186046,0.4839651422709784,0.8662790697674418,0.871083277292767,0.8348837209302326,0.8110106370194371
5,0.8598837209302325,0.8031956224493695,0.8313953488372093,0.6911011395665657,0.7546511627906978,0.5076771324519505,0.8023255813953488,0.6806869462518764,0.8395348837209303,0.7526488623139012
6,0.8046511627906977,0.7251170268439953,0.8267441860465117,0.7346222044710751,0.6546511627906977,0.387297503195776,0.7744186046511627,0.7244581398187113,0.8156976744186045,0.7335086566371842
7,0.7127906976744185,0.68326243815096,0.7744186046511629,0.7324833776527913,0.6011627906976744,0.36864484580625356,0.7581395348837209,0.7012492653506264,0.7372093023255815,0.6589579722100853
8,0.7604651162790698,0.5677079639274883,0.7697674418604651,0.5398720208343345,0.6325581395348837,0.38707842543603366,0.772093023255814,0.5548408909283501,0.7319767441860465,0.480269794756796
9,0.7290697674418604,0.5962222349876085,0.7069767441860465,0.4895472408896423,0.5325581395348837,0.32591277869414687,0.6872093023255814,0.4717364061089187,0.7377906976744185,0.5769342341357465
10,0.7197062423500612,0.6446146567781696,0.6572827417380661,0.603134943895864,0.6119951040391677,0.4029505357205745,0.627906976744186,0.6100764390789701,0.6640146878824968,0.615276845177575
Average,0.7635985312117503,0.684351388483138,0.7695654834761322,0.6481451951462418,0.6384088127294982,0.4166119355060547,0.7513953488372093,0.6462793118459287,0.7635526315789474,0.65778700883785
