Arm,Type,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Label,Normal tissue expression,TCGA expression
20q,ACC,1.35243303,1.311461981,1.939072099,,1.670314307,-2.411788584,,,,,,,,0.002890173,0.01734104,0.126537104,,0.121405751,1,0.176230017,0.719316515
20q,BLCA,1.245907858,0.1128858,0.365503566,,,-0.693827676,,,0.78847217,2.490379919,,,,0.002890173,0.01734104,-0.189805655,-0.983892113,0.121405751,1,1,1
20q,BRCA,1.436081772,0.144786848,0.904066304,0.07393125,1.665910783,-0.317488667,0.476080763,,0.931885031,1.208948118,,,,0.002890173,0.01734104,-0.569416966,-0.655928148,0.121405751,1,0.252833101,0.23661347
20q,CESC,0.99197832,-0.008236388,0.501153125,,,-1.195879504,,,,,,,,0.002890173,0.01734104,-0.284708483,,0.121405751,1,0.490515772,0.483253928
20q,COAD,1.336836493,0.394339943,1.428303581,0.05947625,1.098504369,-0.828075767,0.299937561,,1.141291743,1.586136248,,,,0.002890173,0.01734104,-0.221439931,0,0.121405751,1,0.46253761,0.307792992
20q,ESCA,1.130092224,0.246846981,0,0.06377925,0.721004482,-0.911838413,0.346014373,,1.081421089,0.95953781,,,,0.002890173,0.01734104,0,0,0.121405751,1,0.491727232,0.129938823
20q,GBM,1.534663804,1.383447427,1.447872131,0.110619375,1.688854678,-1.335366045,2.51254845,1.729040432,,,1.76864098,1.86614847,1.786986195,0.002890173,0.01734104,0.253074207,,0.121405751,1,0.385491866,0.147516811
20q,KICH,1.647390695,1.024891408,2.381881839,,,-2.722826138,,1.172825249,1.209691232,1.258986746,1.381447569,1.639373372,1.631150845,0.002890173,0.01734104,-0.063268552,0.983892003,0.121405751,0,0.103316845,0.61477633
20q,KIRC,1.647390695,1.024891408,2.381881839,,,-2.722826138,,1.172825249,1.209691232,1.258986746,1.381447569,1.639373372,1.631150845,0.002890173,0.01734104,-0.063268552,0.983892003,0.121405751,1,0.103316845,0.18237428
20q,KIRP,1.647390695,1.024891408,2.381881839,,,-2.722826138,,1.172825249,1.209691232,1.258986746,1.381447569,1.639373372,1.631150845,0.002890173,0.01734104,-0.063268552,0.983892003,0.121405751,1,0.103316845,0.278456569
20q,LAML,1.227871748,3.792607824,2.863132555,0.035181,1.184722855,-6.999569889,2.187042819,,0.949694018,1.395373249,,,,0.002890173,0.01734104,3.22669614,-0.655928148,0.121405751,0,0.725326959,0.386569732
20q,LGG,1.534663804,1.383447427,1.447872131,0.110619375,1.688854678,-1.335366045,2.51254845,1.729040432,,,1.76864098,1.86614847,1.786986195,0.002890173,0.01734104,0.253074207,,0.121405751,0,0.385491866,0.367208067
20q,LIHC,1.66055836,2.802115603,3.085195535,0.06091875,1.947404863,-4.657880364,0.608017902,1.627274997,1.251002614,2.007562959,2.114178401,1.869060112,1.829418795,0.002890173,0.01734104,1.138833932,0.327963964,0.121405751,1,0.196390697,0
20q,LUAD,1.730988096,1.116240322,1.676711725,0.09678325,0.609015326,-0.790438116,1.29729546,,0.604709574,0.77760213,,,,0.002890173,0.01734104,-0.189805655,-0.983892113,0.121405751,1,0.207820254,0.783793747
20q,LUSC,1.730988096,1.116240322,1.676711725,0.09678325,0.609015326,-0.790438116,1.29729546,,0.604709574,0.77760213,,,,0.002890173,0.01734104,-0.189805655,-0.983892113,0.121405751,1,0.207820254,0.748570381
20q,OV,0.946375176,1.030581661,1.117585885,0.093095,1.924011128,-1.560837713,0.245796563,0.916983766,1.019165868,1.475702103,1.822382519,,,0.002890173,0.01734104,0.063268552,-0.327964074,0.121405751,1,0.34568095,0.702962229
20q,PAAD,1.506381487,1.708362433,2.126551721,,1.274983185,-2.294909085,,,1.116307216,1.356414617,,,,0.002890173,0.01734104,0,-0.655928148,0.121405751,1,0.179028033,0.679172957
20q,PRAD,1.36875051,0.880173035,1.80530568,0.086813,1.68600988,-0.744022507,0.31146302,,2.328671848,1.74650253,,,,0.002890173,0.01734104,-0.253074207,0.983892003,0.121405751,0,0.624262425,0.268054874
20q,SKCM,1.72703034,1.626712513,2.28063107,0.086234625,0.459470155,-1.547447737,0.35378344,,1.517842216,1.213106289,,,,0.002890173,0.01734104,0.53778269,0,0.121405751,1,0.403761514,0.103275687
20q,STAD,1.428467362,0.830638686,1.657245918,0.072428,1.568820345,-0.8436189,,,,,,,,0.002890173,0.01734104,-0.316342759,,0.121405751,1,0.2466914,0.515912783
20q,TGCT,2.763591394,2.450427977,4.737369885,0.13752525,1.054431945,-4.053009985,1.092005336,2.267786838,,,1.766618414,2.021197317,2.041241452,0.002890173,0.01734104,3.416501795,,0.121405751,0,0.997527006,0.334971551
20q,THYM,1.167497794,0.076200924,0.913718686,0.0376915,0.224279946,-1.361628912,0.655361706,,2.239607651,,,,,0.002890173,0.01734104,-0.253074207,0.655928038,0.121405751,0,0.417689328,0.806159337
20q,UCEC,0.938217698,-0.016472776,0,0.0948065,1.973218513,-1.627999524,0.144317719,,1.236497167,1.22921995,,,,0.002890173,0.01734104,-0.442879862,-0.655928148,0.121405751,1,0.501806475,0.51489617
20q,UCS,0.938217698,-0.016472776,0,0.0948065,1.973218513,-1.627999524,0.144317719,,1.236497167,1.22921995,,,,0.002890173,0.01734104,-0.442879862,-0.655928148,0.121405751,1,0.501806475,0.580540184
1q,ACC,1.360827635,1.602573891,1.533249441,,1.484325549,-1.357837589,,,,,,,,0.008667389,0.01191766,0.254531113,,0.080820265,0,0.129495067,0.090183168
1q,BLCA,1.095790295,0.053793566,0,,,-1.643497077,,,1.402069803,1.938644715,,,,0.008667389,0.01191766,-0.347087881,-0.167728899,0.080820265,1,0.434164552,0.612261645
1q,BRCA,1.418321962,0.135487971,0.784714014,0.099632,1.776923074,-0.713623742,0.379791776,,1.052514244,1.169601415,,,,0.008667389,0.01191766,-0.254531113,-0.335457797,0.080820265,1,0.444278128,0.373335457
1q,CESC,1.188154785,0.083858373,0.39378376,,,-1.584103505,,,,,,,,0.008667389,0.01191766,-0.254531113,,0.080820265,1,0.183009089,0.467445701
1q,COAD,1.37781628,0.360650723,1.087520506,0.073958,1.186243346,-0.832228641,0.33935716,,1.357988232,1.276714695,,,,0.008667389,0.01191766,-0.05784798,0.167728899,0.080820265,1,0.277422047,0.320678231
1q,ESCA,1.090586443,0.291701957,0,0.06280825,0.64152629,-0.903640046,0.401813353,,1.015302498,1.058756114,,,,0.008667389,0.01191766,-0.046278384,-0.335457797,0.080820265,1,0.49918358,0.492403793
1q,GBM,1.510654317,1.13779346,1.571789533,0.0713835,1.645728142,-1.552180732,1.252977915,1.82916087,,,1.65705065,1.847487946,1.696187095,0.008667389,0.01191766,0.277670305,,0.080820265,1,0.396839111,0.74706897
1q,KICH,1.60805692,0.969944911,1.936192864,,,-1.185314413,,1.352698208,1.501186441,1.508881468,1.555192791,1.57362514,1.858528673,0.008667389,0.01191766,0.138835152,0.167728899,0.080820265,-1,0.09809216,0.072350243
1q,KIRC,1.60805692,0.969944911,1.936192864,,,-1.185314413,,1.352698208,1.501186441,1.508881468,1.555192791,1.57362514,1.858528673,0.008667389,0.01191766,0.138835152,0.167728899,0.080820265,0,0.09809216,0.313226771
1q,KIRP,1.60805692,0.969944911,1.936192864,,,-1.185314413,,1.352698208,1.501186441,1.508881468,1.555192791,1.57362514,1.858528673,0.008667389,0.01191766,0.138835152,0.167728899,0.080820265,0,0.09809216,0.132193264
1q,LAML,0.92980178,3.98680251,3.262934344,0.0975415,1.043107039,-5.695677707,3.048553665,,1.18401852,1.531528589,,,,0.008667389,0.01191766,3.470878809,0.838644637,0.080820265,0,0.798065632,0.5062713
1q,LGG,1.510654317,1.13779346,1.571789533,0.0713835,1.645728142,-1.552180732,1.252977915,1.82916087,,,1.65705065,1.847487946,1.696187095,0.008667389,0.01191766,0.277670305,,0.080820265,0,0.396839111,0.316194262
1q,LIHC,1.5,2.653872563,2.62680879,0.08626075,1.936208879,-3.955133636,0.62179979,1.982137118,1.185846699,1.73743351,2.248125407,2.02393922,2.012736354,0.008667389,0.01191766,1.989970517,0,0.080820265,1,0.418412688,0.479440133
1q,LUAD,1.574267497,1.438896952,2.053988297,0.145288,0.793298955,-1.330049845,1.61906218,,0.710872467,0.618730039,,,,0.008667389,0.01191766,-0.069417576,-0.838644637,0.080820265,1,0.178467886,0.954559153
1q,LUSC,1.574267497,1.438896952,2.053988297,0.145288,0.793298955,-1.330049845,1.61906218,,0.710872467,0.618730039,,,,0.008667389,0.01191766,-0.069417576,-0.838644637,0.080820265,1,0.178467886,0.900869855
1q,OV,1.120664428,1.049958841,0.722158145,0.109543,1.830377582,-2.129787245,0.332372137,0.750824994,0.810757367,1.183579505,1.570329973,,,0.008667389,0.01191766,-0.046278384,-0.670915739,0.080820265,1,0.119825542,0.58120918
1q,PAAD,1.751329885,1.756240223,2.192177837,,1.210816513,-1.656358252,,,0.792093721,1.548705766,,,,0.008667389,0.01191766,0.300809497,-0.838644637,0.080820265,1,0.232858586,0.468900293
1q,PRAD,1.338241777,0.20099503,0.902449772,0.092179,1.709839494,-0.669264263,0.469611235,,2.903869323,1.63511949,,,,0.008667389,0.01191766,-0.231391921,3.857765244,0.080820265,0,0.34554115,0.487026052
1q,SKCM,1.77730742,1.636067832,2.394252429,0.16253575,0.511765863,-1.934607921,2.939433191,,1.23445429,1.39155082,,,,0.008667389,0.01191766,1.423060312,0.50318684,0.080820265,1,1,0.593919799
1q,STAD,1.785357107,0.691236791,1.681956015,0.09490225,1.493011212,-0.964984087,,,,,,,,0.008667389,0.01191766,-0.092556768,,0.080820265,1,0.554036091,0.623537902
1q,TGCT,2.601112508,2.461550133,4.501426189,0.11929775,1.025380327,-6.548348587,1.157202357,2.116122643,,,1.296095819,1.949286954,2.041237693,0.008667389,0.01191766,2.591589511,,0.080820265,1,0.90977397,0.130663571
1q,THYM,1.23837184,0.200671655,0.971013864,0.0530235,0.217703533,-0.869084099,0.436669492,,1.988403146,,,,,0.008667389,0.01191766,0,0.167728899,0.080820265,1,0.146141437,0.592118887
1q,UCEC,1.070633338,0.02812258,0,0.111284,2.058169834,-1.167649026,0.236248743,,1.320278964,1.5038047,,,,0.008667389,0.01191766,-0.138835152,-0.335457797,0.080820265,1,0.299099423,0.206197337
1q,UCS,1.070633338,0.02812258,0,0.111284,2.058169834,-1.167649026,0.236248743,,1.320278964,1.5038047,,,,0.008667389,0.01191766,-0.138835152,-0.335457797,0.080820265,1,0.299099423,0.807222516
1p,ACC,1.337623279,1.486122003,1.658210502,,1.548448292,-1.588617492,,,,,,,,0.020730503,0.008884501,0.34507812,,0.094866071,-1,0.288105071,0.398780546
1p,BLCA,1.291711469,0,0.202902748,,,-1.554398626,,,1.201837699,2.279905663,,,,0.020730503,0.008884501,-0.474482415,0.438338994,0.094866071,0,0.697882189,0.778531854
1p,BRCA,1.319340286,0.284781484,0.747807591,0.089938,1.701750233,-0.711654228,0.319276501,,1.166419351,1.152534253,,,,0.020730503,0.008884501,-0.388212885,0,0.094866071,-1,0.404355383,0.398366738
1p,CESC,1.187128602,0.026083435,0.549700731,,,-1.272054017,,,,,,,,0.020730503,0.008884501,-0.377429194,,0.094866071,1,0.397844762,0.698930695
1p,COAD,1.385445952,0.548794295,0.939676789,0.0651205,1.248451158,-0.992973794,0.359917926,,1.003543944,1.524978181,,,,0.020730503,0.008884501,-0.237241208,-0.438338994,0.094866071,-1,0.52672298,0.551349528
1p,ESCA,1.130270528,0.429868728,0,0.065282,0.567939849,-1.103491646,0.355916593,,1.074911248,1.064013355,,,,0.020730503,0.008884501,-0.34507812,-0.292225996,0.094866071,0,0.376276444,0.171658916
1p,GBM,1.463768178,1.337752718,1.370755611,0.066843,1.625767512,-1.664204081,1.443755822,1.794921559,,,1.710356012,1.924172126,1.798656923,0.020730503,0.008884501,0.17253906,,0.094866071,1,0.135984789,0.483995234
1p,KICH,1.618988779,0.964913525,2.228911691,,,-1.727634,,1.401757044,1.425465912,1.562697873,1.624325786,1.690718134,1.863527514,0.020730503,0.008884501,0.248024899,0.292225996,0.094866071,-1,0.298805136,0.355327183
1p,KIRC,1.618988779,0.964913525,2.228911691,,,-1.727634,,1.401757044,1.425465912,1.562697873,1.624325786,1.690718134,1.863527514,0.020730503,0.008884501,0.248024899,0.292225996,0.094866071,-1,0.298805136,0.417674431
1p,KIRP,1.618988779,0.964913525,2.228911691,,,-1.727634,,1.401757044,1.425465912,1.562697873,1.624325786,1.690718134,1.863527514,0.020730503,0.008884501,0.248024899,0.292225996,0.094866071,0,0.298805136,0.397962353
1p,LAML,1.314135296,3.698922246,3.10137365,0.034618,1.023486217,-5.825025579,2.171877142,,1.20023954,1.616084487,,,,0.020730503,0.008884501,2.393979459,-0.438338994,0.094866071,0,0.611239077,0.389987062
1p,LGG,1.463768178,1.337752718,1.370755611,0.066843,1.625767512,-1.664204081,1.443755822,1.794921559,,,1.710356012,1.924172126,1.798656923,0.020730503,0.008884501,0.17253906,,0.094866071,-1,0.135984789,0.14206196
1p,LIHC,1.597317029,2.564413458,2.876566747,0.055352,1.998567179,-2.923277137,0.397470619,1.577455617,1.074442565,1.738474474,2.214841365,1.912553967,1.918813236,0.020730503,0.008884501,1.401879863,-0.292225996,0.094866071,-1,0.234900579,0.37896356
1p,LUAD,1.597451674,1.207614729,1.851672756,0.116271,0.743740289,-1.036084768,1.262612642,,0.673529819,0.687400482,,,,0.020730503,0.008884501,-0.301943355,0,0.094866071,1,0.138148532,0.355833671
1p,LUSC,1.597451674,1.207614729,1.851672756,0.116271,0.743740289,-1.036084768,1.262612642,,0.673529819,0.687400482,,,,0.020730503,0.008884501,-0.301943355,0,0.094866071,-1,0.138148532,0.60874563
1p,OV,1.138635284,1.290232659,1.138635284,0.107713,1.879717503,-1.283516114,0.218336255,0.9529299,0.828097627,1.184198936,1.855989376,,,0.020730503,0.008884501,0.194106443,-0.146112998,0.094866071,1,0.431743741,0.501329922
1p,PAAD,1.498542352,1.523623501,1.862101938,,1.166468693,-2.679674182,,,0.768492228,1.402321753,,,,0.020730503,0.008884501,0.754858388,-0.292225996,0.094866071,-1,0.674496889,0.541684433
1p,PRAD,1.391775177,0.358868299,1.285652797,0.090466,1.696662738,-0.750963494,0.493808568,,2.982894063,1.801028752,,,,0.020730503,0.008884501,-0.452915033,2.630034105,0.094866071,-1,0.432161264,0.332913734
1p,SKCM,1.679843312,1.553131345,2.196337938,0.1127865,0.419698364,-2.105638367,0.562285648,,1.201070245,1.241656128,,,,0.020730503,0.008884501,0.722507314,0.438338994,0.094866071,0,0.469184255,0.415535787
1p,STAD,1.450722051,0.633107212,1.57655783,0.084851,1.538292136,-1.232666494,,,,,,,,0.020730503,0.008884501,-0.280375973,,0.094866071,0,0.401789057,0.564618773
1p,TGCT,2.778764747,2.772279674,4.97271664,0.15123,1.011419722,-4.674634363,1.138686049,2.078728797,,,1.413734165,1.920576886,2.04106466,0.020730503,0.008884501,3.127270464,,0.094866071,0,0.876751152,0.332999477
1p,THYM,1.338173326,0.224828234,1.028298963,0.048683,0.201202691,-1.316903767,0.444143579,,2.30946476,,,,,0.020730503,0.008884501,-0.107836913,2.045582113,0.094866071,0,0.391810955,0.521371018
1p,UCEC,1.049882448,0.01002137,0,0.110468,2.097724853,-0.950739493,0.182929915,,1.057425343,1.283820623,,,,0.020730503,0.008884501,-0.280375973,-0.146112998,0.094866071,0,0.552546264,0.511175241
1p,UCS,1.049882448,0.01002137,0,0.110468,2.097724853,-0.950739493,0.182929915,,1.057425343,1.283820623,,,,0.020730503,0.008884501,-0.280375973,-0.146112998,0.094866071,0,0.552546264,0.581935491
6q,ACC,1.274867466,1.674849515,1.353203109,,1.568820426,-1.849532291,,,,,,,,0.026634383,0.00968523,0.875028042,,0.080691643,0,0.643225049,0.446331586
6q,BLCA,1.290521916,0.109250186,0,,,-1.541405189,,,1.05332908,2.066052868,,,,0.026634383,0.00968523,-0.592760932,0,0.080691643,-1,0.409951605,0.254101544
6q,BRCA,1.408724891,0.195099523,0.609458399,0.084099,1.74644445,-0.633072628,0.251946259,,1.090523565,1.066326284,,,,0.026634383,0.00968523,-0.536307509,-1.168904031,0.080691643,-1,0.410214462,0.505459254
6q,CESC,1.074485895,0.029728989,0.366972122,,,-0.84233191,,,,,,,,0.026634383,0.00968523,-0.310493821,,0.080691643,-1,0.349865717,0.287184746
6q,COAD,1.206024348,0.543591245,0.82351622,0.082459,1.207052309,-0.726348072,0.332308946,,1.142262524,1.297912145,,,,0.026634383,0.00968523,-0.28226711,0.584452015,0.080691643,0,0.384468042,0.532974415
6q,ESCA,1.218608362,0.680302008,0.202320556,0.073377,0.66919343,-1.105315765,0.343302099,,1.119039104,1.456676689,,,,0.026634383,0.00968523,-0.254040399,-0.584452015,0.080691643,0,0.307487678,0.33449442
6q,GBM,1.461562718,1.360042315,1.461562718,0.0822425,1.710631767,-2.184791241,2.166271804,1.816886332,,,1.658780222,1.907718447,1.871723694,0.026634383,0.00968523,0.366947243,,0.080691643,-1,0.545640052,0.603694671
6q,KICH,1.557822748,0.953136683,1.499936783,,,-0.961809329,,1.295021695,1.389868074,1.3289021,1.92439845,1.524693511,1.743082793,0.026634383,0.00968523,-0.141133555,-0.584452015,0.080691643,-1,0.110003621,0.249059722
6q,KIRC,1.557822748,0.953136683,1.499936783,,,-0.961809329,,1.295021695,1.389868074,1.3289021,1.92439845,1.524693511,1.743082793,0.026634383,0.00968523,-0.141133555,-0.584452015,0.080691643,-1,0.110003621,0.696378333
6q,KIRP,1.557822748,0.953136683,1.499936783,,,-0.961809329,,1.295021695,1.389868074,1.3289021,1.92439845,1.524693511,1.743082793,0.026634383,0.00968523,-0.141133555,-0.584452015,0.080691643,0,0.110003621,0.3833357
6q,LAML,1.563847503,3.652570306,2.912525405,0.01957,1.041184652,-4.653833791,2.072629206,,1.336476616,1.483494528,,,,0.026634383,0.00968523,1.213748574,0,0.080691643,0,0.316006337,0.260503432
6q,LGG,1.461562718,1.360042315,1.461562718,0.0822425,1.710631767,-2.184791241,2.166271804,1.816886332,,,1.658780222,1.907718447,1.871723694,0.026634383,0.00968523,0.366947243,,0.080691643,-1,0.545640052,0.739909597
6q,LIHC,1.336984281,2.598123877,2.286647802,0.046051,1.914803306,-3.84749911,0.998923252,1.695011566,1.064561812,1.699964968,2.187163287,1.941002917,1.915202928,0.026634383,0.00968523,1.439562262,-1.168904031,0.080691643,-1,0.243352698,0.245703841
6q,LUAD,1.772213514,1.415880285,1.698441077,0.111317,0.712331196,-1.044720611,1.671080721,,0.52135293,0.563513648,,,,0.026634383,0.00968523,-0.423400665,-0.584452015,0.080691643,-1,0.255802994,0.641516313
6q,LUSC,1.772213514,1.415880285,1.698441077,0.111317,0.712331196,-1.044720611,1.671080721,,0.52135293,0.563513648,,,,0.026634383,0.00968523,-0.423400665,-0.584452015,0.080691643,0,0.255802994,0.776828576
6q,OV,1.13937597,1.045194509,1.089162297,0.1138915,2.046731733,-2.023161728,0.189255729,1.086340719,0.774900484,1.205378417,1.95033383,,,0.026634383,0.00968523,0.310493821,0,0.080691643,-1,0.471805746,0.292748562
6q,PAAD,1.461562718,1.970291331,2.424366107,,1.310007323,-1.298919018,,,1.016510244,1.613492856,,,,0.026634383,0.00968523,0.366947243,-0.584452015,0.080691643,-1,0.426114193,0.726521084
6q,PRAD,1.542370856,0.577895557,1.582304287,0.0734145,1.71587352,-0.58113101,0.489177493,,2.767403105,1.990502094,,,,0.026634383,0.00968523,-0.536307509,1.753356046,0.080691643,-1,0.244858029,0.970796241
6q,SKCM,1.63294676,1.604025297,2.203321924,0.085131,0.518584483,-1.530607095,0.663244552,,1.044417753,1.166688952,,,,0.026634383,0.00968523,0.084680133,1.168904031,0.080691643,-1,0.191882949,0.342945436
6q,STAD,1.485604655,0.672782406,1.468136649,0.092782,1.502365694,-0.928255053,,,,,,,,0.026634383,0.00968523,-0.197586977,,0.080691643,0,0.394096911,0.782753765
6q,TGCT,2.802535271,2.878242328,5.170874981,0.114752,1.0654409,-4.705283901,2.089777288,2.137696201,,,1.156472941,1.962487597,2.039486569,0.026634383,0.00968523,3.02025808,,0.080691643,0,0.10663533,0.386272892
6q,THYM,1.432343703,0.23063439,0.674521071,0.0441025,0.094991304,-1.257758943,0.499371525,,1.905562288,,,,,0.026634383,0.00968523,-0.197586977,2.922260077,0.080691643,-1,0.213552257,0.306801891
6q,UCEC,0.8960698,0,0,0.124808,2.085487865,-1.092425904,0.283871737,,1.34223942,1.151403327,,,,0.026634383,0.00968523,-0.254040399,0,0.080691643,0,0.772343939,0.299419299
6q,UCS,0.8960698,0,0,0.124808,2.085487865,-1.092425904,0.283871737,,1.34223942,1.151403327,,,,0.026634383,0.00968523,-0.254040399,0,0.080691643,0,0.772343939,0.082420569
6p,ACC,1.258455564,1.512190662,1.073393643,,1.621632815,-1.878204176,,,,,,,,0.008561644,0.008561644,0.398571184,,0.085626911,0,0.270286764,0.205955994
6p,BLCA,1.127106968,0.057247498,0,,,-0.889578377,,,1.319118821,2.429776019,,,,0.008561644,0.008561644,-0.306593219,0.325094543,0.085626911,0,0.502238125,0.401533747
6p,BRCA,1.490832071,0.387591865,0.928706986,0.09007325,1.691791269,-0.588396838,0.472935515,,1.258195787,1.137372428,,,,0.008561644,0.008561644,-0.275933897,0.325094543,0.085626911,0,0.275709142,0.225838135
6p,CESC,1.07846756,0,0.520831585,,,-1.243521137,,,,,,,,0.008561644,0.008561644,-0.291263558,,0.085626911,0,0.544667294,0.52069371
6p,COAD,1.495425974,0.369657929,1.216007029,0.0556475,1.180608065,-0.9354394,0.438976953,,1.030651308,1.420377109,,,,0.008561644,0.008561644,-0.153296609,-0.325094377,0.085626911,0,0.544855664,0.475818907
6p,ESCA,1.158113847,0.415168246,0.150743077,0.0544965,0.552904461,-1.204856753,0.420287616,,1.325870706,1.106218517,,,,0.008561644,0.008561644,-0.183955931,-0.325094377,0.085626911,0,0.153079639,0.137033246
6p,GBM,1.435580376,1.262223196,1.302829615,0.05117,1.679089635,-1.409536834,1.154310192,1.723937401,,,1.623995638,1.815822821,1.676173073,0.008561644,0.008561644,0.122637287,,0.085626911,-1,0.122337793,0.163073804
6p,KICH,1.646090709,0.943295118,1.992303523,,,-1.240802694,,1.260931651,1.337344467,1.660091877,1.649977629,1.597814403,1.72691958,0.008561644,0.008561644,0.214615253,-1.300377675,0.085626911,-1,0.320022187,0
6p,KIRC,1.646090709,0.943295118,1.992303523,,,-1.240802694,,1.260931651,1.337344467,1.660091877,1.649977629,1.597814403,1.72691958,0.008561644,0.008561644,0.214615253,-1.300377675,0.085626911,-1,0.320022187,0.471064541
6p,KIRP,1.646090709,0.943295118,1.992303523,,,-1.240802694,,1.260931651,1.337344467,1.660091877,1.649977629,1.597814403,1.72691958,0.008561644,0.008561644,0.214615253,-1.300377675,0.085626911,0,0.320022187,0.509864248
6p,LAML,1.317046558,3.807708559,3.351148358,0.0604405,0.892285387,-6.261861879,2.857687286,,1.043427013,1.569920872,,,,0.008561644,0.008561644,4.13900845,-0.650188755,0.085626911,0,0.865690766,0.370987707
6p,LGG,1.435580376,1.262223196,1.302829615,0.05117,1.679089635,-1.409536834,1.154310192,1.723937401,,,1.623995638,1.815822821,1.676173073,0.008561644,0.008561644,0.122637287,,0.085626911,0,0.122337793,0.234255457
6p,LIHC,1.512880225,2.934335204,2.772279674,0.085427,1.984372152,-1.96551354,0.68604544,1.877253116,1.219317908,1.453353632,2.243316579,1.965258084,1.91558396,0.008561644,0.008561644,1.103735587,0,0.085626911,1,0.201240716,0.31585273
6p,LUAD,1.68419681,1.484493442,1.786985746,0.13754325,0.657249803,-0.754057339,1.61906218,,0.730003885,0.729689979,,,,0.008561644,0.008561644,-0.030659322,-0.325094377,0.085626911,0,0.28802884,0.884648625
6p,LUSC,1.68419681,1.484493442,1.786985746,0.13754325,0.657249803,-0.754057339,1.61906218,,0.730003885,0.729689979,,,,0.008561644,0.008561644,-0.030659322,-0.325094377,0.085626911,0,0.28802884,0.440237985
6p,OV,0.986178897,0.848264435,0.799224583,0.0969375,1.994583605,-2.355489735,0.218336255,0.890959775,0.969240889,1.137376853,1.974339189,,,0.008561644,0.008561644,0.030659322,0,0.085626911,-1,0.266488265,0.787579849
6p,PAAD,1.652821787,1.378274855,2.567089225,,1.219505078,-2.059171068,,,1.135902154,1.707493677,,,,0.008561644,0.008561644,0.429230506,-0.325094377,0.085626911,-1,0.503725039,0.577651286
6p,PRAD,1.470173091,0.343823339,1.48064435,0.07936125,1.761576467,-0.877426192,0.526769262,,3.322014111,1.839177007,,,,0.008561644,0.008561644,-0.030659322,3.576038814,0.085626911,0,0.761215089,0.796644745
6p,SKCM,1.73423215,1.419373404,2.272805491,0.102571375,0.361405731,-1.751696647,0.627307859,,0.9621346,1.326186027,,,,0.008561644,0.008561644,0.582527115,-0.325094377,0.085626911,1,0.472516046,0.449477584
6p,STAD,1.420266468,0.869549,1.818756062,0.0633685,1.462402963,-0.870784138,,,,,,,,0.008561644,0.008561644,-0.091977966,,0.085626911,0,0.569945297,0.824980543
6p,TGCT,2.812449954,2.719009496,5.756590879,0.1400965,1.02371696,-7.142727004,2.397476163,2.153979537,,,1.444413423,2.029044271,2.04123647,0.008561644,0.008561644,2.698020323,,0.085626911,0,0.932383738,0.389927923
6p,THYM,1.146259849,0.244598328,0.550915689,0.0504325,0.070069199,-1.250629482,0.505281419,,2.174061649,,,,,0.008561644,0.008561644,0.122637287,0,0.085626911,-1,0.402196707,0.871222973
6p,UCEC,0.944592977,-0.188451329,0,0.10225925,2.127099702,-1.007810056,0.227107318,,1.34482572,1.380926245,,,,0.008561644,0.008561644,-0.306593219,0.650188921,0.085626911,1,0.629787081,0.403502852
6p,UCS,0.944592977,-0.188451329,0,0.10225925,2.127099702,-1.007810056,0.227107318,,1.34482572,1.380926245,,,,0.008561644,0.008561644,-0.306593219,0.650188921,0.085626911,0,0.629787081,0.243846076
3p,ACC,1.451814775,1.647032439,2.073966879,,1.562749062,-2.784739043,,,,,,,,0.012345679,0.014403292,0.337425162,,0.079069767,0,0.286725546,0.317086543
3p,BLCA,1.070195832,0.314158105,0,,,-1.012510972,,,1.735704191,2.820082441,,,,0.012345679,0.014403292,-0.382415184,0,0.079069767,1,0.660301445,0.594387646
3p,BRCA,1.520527023,0.355972318,1.347652254,0.092415,1.71559494,-0.838252374,0.318794017,,0.768513433,0.993275396,,,,0.012345679,0.014403292,-0.247445119,-0.300917203,0.079069767,0,0.563299631,0.610997519
3p,CESC,1.162798784,0.009811469,0.555373646,,,-1.126716815,,,,,,,,0.012345679,0.014403292,-0.26994013,,0.079069767,-1,0.586448566,0.10659148
3p,COAD,1.331577839,0.497576728,0.805085719,0.060753,1.263359179,-0.688432365,0.27137419,,1.062133458,1.230922178,,,,0.012345679,0.014403292,-0.247445119,0.300917203,0.079069767,0,0.297167997,0.667107716
3p,ESCA,1.124329865,0.456658062,0,0.0521825,0.612345765,-0.921954911,0.333825291,,1.870932902,1.8389282,,,,0.012345679,0.014403292,-0.157465076,-1.504586155,0.079069767,-1,0.484399365,0.263025209
3p,GBM,1.396325017,1.244033379,1.399995789,0.101733,1.66040017,-1.573333062,1.566750754,1.894206359,,,1.741699378,1.955855307,1.857200226,0.012345679,0.014403292,0.382415184,,0.079069767,0,0.361741045,0.639042416
3p,KICH,1.67279982,0.894219024,2.032202051,,,-0.854569779,,1.292341448,2.207106498,1.404177187,1.444057587,1.534851053,1.731156158,0.012345679,0.014403292,0,1.203668952,0.079069767,0,0.187061537,0.609125561
