Arm,Type,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols),Label
20q,ACC,0.44369190708346407,0.9736940275585492,0.8474751411777566,1.3311747790970605,,1.3205929733140398,-0.6276542854774013,,,,,,0.8402185168640811,,,0.002890173,0.01734104,-0.15306907683946286,,0.12140575079872204,1
20q,BLCA,0.8395283960117378,0.9382176984896288,-0.1817276981826349,0.0,,,-0.4500426442909062,,,,,,0.86706954862315,0.2733764201390411,2.258658140214385,0.002890173,0.01734104,-0.46941183564101946,-1.0112224273668804,0.12140575079872204,1
20q,BRCA,0.29204907807226377,1.2596187518992927,-0.0821241723464961,0.1940634046025824,0.056627,1.4573072997623522,-0.14461216991865755,0.3027934768373016,,,,,0.1539155842103701,0.6447745133264773,0.8549837314930059,0.002890173,0.01734104,-0.8490231462028873,-0.6832583968695145,0.12140575079872204,1
20q,CESC,0.3389101218497085,0.8274108383135217,-0.21908565100726995,0.0,,,-0.6053425930175115,,,,,,0.4381455903691741,,,0.002890173,0.01734104,-0.5643146632814864,,0.12140575079872204,1
20q,COAD,0.5465999640458569,1.0924645225899658,0.09476259429268076,0.63556710699542,0.039063,0.906628203248798,-0.4083161132894293,0.184490188047619,,,,,0.0,0.8976842089853337,1.3004300532973443,0.002890173,0.01734104,-0.5010461115211751,-0.027330335874779847,0.12140575079872204,1
20q,ESCA,0.43214036713330056,0.9052000946362277,0.03928884209988575,0.0,0.036698,0.48809678217008184,-0.2477385347188894,0.2313438892717803,,,,,0.3548937244618728,0.7136684432461683,0.7269858605113267,0.002890173,0.01734104,-0.2796061803600855,-0.027330335874779847,0.12140575079872204,1
20q,GBM,0.46565343821812977,1.167368531248504,0.9916714853813546,0.6568612037250809,0.04863199999999995,1.4503393310593593,-0.9496629896487059,1.1756512433876067,1.5017230737324787,1.5834036313270765,1.6190784815941217,1.4374734563586369,0.30479135381475714,,,0.002890173,0.01734104,-0.02653197331884023,,0.12140575079872204,1
20q,KICH,0.3740175356001784,1.286460901619737,0.4258314740167912,1.776978242074223,,,-1.2153341865110798,,0.776911325811518,0.9345654233989577,1.2032650242379148,1.0625159946939735,0.5873658768377293,0.7860005026567248,0.9228501847065078,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,0
20q,KIRC,0.3740175356001784,1.286460901619737,0.4258314740167912,1.776978242074223,,,-1.2153341865110798,,0.776911325811518,0.9345654233989577,1.2032650242379148,1.0625159946939735,0.15501863566999424,0.7860005026567248,0.9228501847065078,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,1
20q,KIRP,0.3740175356001784,1.286460901619737,0.4258314740167912,1.776978242074223,,,-1.2153341865110798,,0.776911325811518,0.9345654233989577,1.2032650242379148,1.0625159946939735,0.3128461934267431,0.7860005026567248,0.9228501847065078,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,1
