Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.7837209302325582,0.6779218216597942,0.7534883720930232,0.682868305674488,0.708139534883721,0.483908170430511,0.7558139534883721,0.6526397774075958,0.7215116279069768,0.6581894678365754
2,0.7034883720930233,0.6578152228971543,0.7174418604651163,0.6288653927734953,0.6872093023255814,0.5162713062476205,0.7151162790697674,0.6120228801292344,0.7063953488372092,0.6201448181154752
3,0.7796511627906977,0.5900614928093789,0.7872093023255814,0.5609220785230327,0.6558139534883721,0.3802567971041594,0.8034883720930233,0.6378791892849094,0.7540697674418605,0.5327757917617588
4,0.8098837209302325,0.8264831199439739,0.8290697674418605,0.8079564753294726,0.6186046511627906,0.404465764016758,0.8069767441860465,0.7867711254594851,0.8546511627906976,0.8346255483865277
5,0.8790697674418605,0.7425365987211963,0.8151162790697674,0.6813358073578144,0.7406976744186047,0.4876644815404494,0.7930232558139535,0.6302376985757376,0.8505813953488373,0.8065516445124152
6,0.7906976744186047,0.7334787000440397,0.8127906976744186,0.7468027541288546,0.6337209302325582,0.3709075442575382,0.7790697674418605,0.7011358717587537,0.822093023255814,0.7641553948805131
7,0.7633720930232558,0.6841222702695398,0.7406976744186047,0.7120920623040763,0.5686046511627907,0.36385398850504386,0.7093023255813954,0.6335252180235155,0.7296511627906976,0.678540247620294
8,0.7790697674418605,0.6000949966582654,0.7755813953488372,0.5461564098470346,0.6197674418604651,0.4186262151080283,0.7837209302325582,0.5802074230574628,0.752906976744186,0.5234239316059787
9,0.6034883720930233,0.47894314522302583,0.6976744186046513,0.549223153252255,0.45813953488372094,0.3333253751648672,0.6151162790697674,0.49930490856764037,0.6686046511627907,0.5319692658613646
10,0.7368421052631579,0.6781312030965629,0.6940024479804162,0.5705373881529203,0.6413708690330477,0.4123881644563775,0.7221542227662179,0.5966061044850255,0.6946144430844553,0.6021164750168254
Average,0.7629283965728274,0.6669588571322931,0.7623072215422276,0.6486759827343443,0.6332068543451652,0.41716678068313534,0.7483782129742962,0.633033019674936,0.7555079559363524,0.6552492585597728
