Instance,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols)
SKCM-1.0,0.013309368,0.036999077,-0.19347733,-0.10398784,0.022607934,-0.06775868,-1.1184624,-0.6650292,-0.11859053,-0.24963166,0.051922478,-0.057347212,-0.6593655,0.3663232,-0.28100473,-0.21974398,-0.51018,0.3175328,0.05834289,-1.0053113
STAD-1.0,0.08020895,-0.46982986,0.04980705,-1.0018356,0.5645382,-0.2646294,0.09688248,-0.13619895,-0.03050281,-0.24987651,0.016786017,-0.10115763,-1.168449,0.12190743,-0.4606956,-0.2288283,-0.8044802,-0.64426535,-0.0034679715,-0.9731998
TGCT-1.0,0.4293673,0.83801067,-0.4258466,0.0587491,0.111244865,-0.21443893,-0.9831629,0.22805667,0.31147912,0.2187979,-0.116830036,0.049199667,-0.31633288,0.0649591,-0.3235359,-0.29542235,-0.47398046,0.2431621,-0.11786318,-1.1267799
THYM-1.0,0.03272732,-0.2150604,-0.17050655,0.06428354,0.0011891015,-0.36901128,-0.01809587,-0.45445383,-0.02823456,-0.2318217,0.017086042,-0.08277916,-0.6427237,-0.26632202,-0.62907153,-0.298531,-1.098368,-0.4670344,-1.4249495,-0.7002275
UCEC-1.0,-0.44489548,-0.48811048,-0.2629501,0.29461825,0.120306775,0.067740895,-0.3577013,0.055674486,-0.028938748,-0.2603766,0.0060960436,-0.06067114,-1.0270938,0.08096132,-0.4942517,-0.3325232,-0.7357688,-0.63736635,-0.7785083,-0.82560664
UCS-1.0,-0.10244849,-0.19671214,-0.12564215,0.40315816,0.08819994,0.3315033,-0.24967575,0.0790637,-0.060330104,-0.26642302,0.007391668,-0.039017674,-0.41415846,0.010832241,-0.3261343,-0.25333917,-0.6707566,-0.80449224,-0.52082425,-0.5903539
ACC-6.0,-0.12629507,-0.103211045,-0.2068049,0.05512163,-0.39978752,-0.16043282,-1.0273345,-0.13023661,-0.16353202,-0.22275375,0.04315169,-0.11383129,-0.37799743,0.046923243,-0.5870148,0.241169,-0.48493338,0.024754597,-0.030463917,-0.47133306
BLCA-6.0,0.14955604,-0.8618031,-0.1860797,0.40352178,-0.4404233,-0.27418762,-0.19485404,-0.12197151,-0.017844018,-0.15436682,0.04591988,-0.09338961,-1.5325136,0.1076127,0.70061064,0.04126371,-0.8097335,-0.9709351,0.35312304,-0.45028374
BRCA-6.0,-0.057610385,-0.26585895,-0.018233884,0.009855312,-0.69462764,0.26689914,1.9579002,-0.20402801,-0.011431266,-0.13715999,0.022733478,-0.10411102,-0.052427877,-0.22058359,-0.1074988,0.05977032,-0.9981478,-0.60660183,-0.51545036,-0.5542612
CESC-6.0,-0.042233247,-0.99622446,0.24782012,0.50667346,-0.44125608,-0.24021974,0.3275218,-0.14281008,-0.049277723,-0.15162967,0.03468032,-0.10695403,-1.4265301,0.044572607,-0.3860855,-0.0023801406,-0.824515,-1.0880164,-0.0067946683,-0.37134483
COAD-6.0,0.07472574,-0.43849522,-0.12335292,0.027350195,-0.42381862,-0.14580235,-0.05541191,0.15458268,-0.021967005,-0.18851443,0.03468032,-0.11936351,-0.12015401,0.053767852,-0.404098,0.015213599,-1.1937711,-1.0070082,0.30500543,-0.5188478
ESCA-6.0,-0.38833296,-0.57915545,-0.2308917,0.34312046,0.017794857,-0.08084091,-0.35615432,-0.421852,-0.027602563,-0.20713271,0.029775506,-0.092259996,-0.24953447,0.048732683,-0.48084888,0.023029068,-1.1512191,-0.7707546,-0.6719076,-0.36345762
GBM-6.0,0.5372229,-0.26680914,-0.1409285,0.23093072,0.2926179,0.21972768,-0.34246576,0.33274525,0.21121953,0.09490743,0.04147062,0.26258978,1.8343579,-0.031875134,-0.32479587,0.52455956,-0.38721952,0.081489205,0.05338471,-0.0965233
KICH-6.0,0.6996,0.82116115,0.18878147,-0.36812454,-0.10892505,-0.014254766,0.54025096,-0.12894237,-0.019430887,0.31216764,0.05554856,0.4969299,2.5428128,-0.043585956,0.14493297,0.57161045,0.10588822,0.87891835,-0.73836863,-0.049617436
KIRC-6.0,-0.009414619,0.12880631,0.1916908,-0.4342684,-0.22153059,-0.109140106,0.5442031,-0.16103713,0.0921246,0.2432293,0.06087537,0.41113827,0.027679447,-0.42711815,0.0745271,0.15889546,0.1198537,0.76565766,0.23758067,0.11073988
KIRP-6.0,-0.042922635,0.106460236,0.19704548,-0.51923925,-0.24205738,-0.12740995,0.49395385,-0.19491668,0.08692881,0.2432293,0.06530628,0.41113827,-0.81478345,-0.4273913,-0.11477013,0.18313432,0.091191255,0.7629885,-0.57315916,0.09642317
LAML-6.0,0.35512647,-0.41489437,-0.33790687,0.0058797845,-0.008996977,0.07288499,-0.62505555,-1.1136557,-0.067462884,-0.16547431,0.07320307,-0.13667877,-0.98586416,0.2691373,-0.20578589,0.15595822,-0.37031886,0.42718482,-0.5771464,-0.3503392
LGG-6.0,0.11263889,-0.28555351,-0.35709518,0.28036168,0.06114991,0.25776693,-1.0742983,0.35480148,0.11968535,-0.03824947,0.046844505,0.2631086,-0.68267596,-0.08063634,-0.48168832,0.11406097,-0.5260954,0.11079352,0.06645027,-0.18786556
LIHC-6.0,-0.35360783,-0.36119872,-0.100126244,-0.097192705,-0.024871958,0.21234307,-0.73018783,0.34817833,-0.016138375,0.53017014,-0.08738783,-0.36705282,-1.8559917,0.20488873,0.17240137,0.008070473,-0.4684175,0.2846154,-0.0035693161,-0.24638647
LUAD-6.0,0.12799291,0.10212137,-0.29907215,-0.5547995,-0.02308667,-0.10334425,-0.66961074,0.5613464,-0.056175787,-0.13679765,0.002770023,-0.10618173,-2.671007,0.3249071,-0.2804237,-0.12800682,-0.42321476,-0.61513126,0.13146622,-0.39811692
LUSC-6.0,-0.07614538,0.10791845,-0.3231565,-0.6853902,-0.022317585,-0.097207226,-0.60434306,0.6156309,-0.004064473,-0.13572823,0.051397666,-0.11559417,-0.7673933,0.37290135,-0.3113772,0.016173305,-0.53345454,-0.511538,0.37822193,-0.5903178
OV-6.0,0.13870373,0.03811281,0.31822234,0.4081788,0.2719477,0.32002494,-0.6185122,-0.14195788,-0.034156498,1.2889267,0.066208236,0.20384641,0.5320589,0.28692627,0.23586117,0.16819346,0.08469754,0.6790661,0.73513395,-0.24754903
PAAD-6.0,0.29708108,-0.02481491,-0.19521275,0.12324076,-0.14049189,-0.061594628,0.21428159,-0.11615102,-0.05459505,-0.15119603,0.06442875,-0.06594366,1.0428947,0.73364145,0.87035805,0.35062167,0.16859539,0.8301882,0.28002793,0.06451064
PRAD-6.0,0.005750833,-0.19420514,-0.106716745,0.15054211,-0.2593874,0.32282683,-0.5796571,-0.10851808,-0.08752957,-0.16293056,0.036852665,-0.09999801,-0.43358648,-0.51052743,0.25120345,0.07574432,-0.88075036,-1.1806002,-0.07078825,-0.27836376
SKCM-6.0,-0.15716594,0.76036865,-0.087214,0.17188896,0.471008,0.04976379,-0.30793166,0.5924731,-0.018542806,-0.17926677,0.09510334,-0.060218204,0.7173599,0.3099128,0.5918757,0.23110163,-0.049261883,0.48554346,-0.27532008,0.15979306
STAD-6.0,-0.15676156,-0.54104596,0.08697733,-0.79587245,-0.09010769,-0.29814488,-0.56697786,-0.08291194,-0.06716864,-0.19883238,0.026648697,-0.09000083,-2.2620873,-0.041209485,-0.31071177,-0.028712733,-0.7434958,-0.69971955,-0.11472921,-0.22120604
TGCT-6.0,-0.02688941,0.18794718,-0.86741734,-0.087273955,-0.012277051,-0.18944073,-0.4583584,-1.0007164,0.24596213,0.13542306,-0.047913745,0.018707518,-0.084494814,0.12064969,-0.29595378,0.04656931,-0.26587874,0.3912954,0.016576467,-0.72097933
THYM-6.0,-0.048700683,0.16619746,0.04931024,0.8003926,0.31572697,-0.2884287,0.674527,0.009465584,0.029211188,-0.10581992,0.07324015,-0.09633115,1.4091935,-0.39378813,-0.18263406,0.29777157,-0.18705359,0.8378823,1.1131984,-0.17889182
UCEC-6.0,-0.01902103,-0.6828277,-0.0055228504,0.38273236,-0.1177381,0.000977389,-0.33721146,-0.12178495,-0.059345864,-0.17038761,0.0354449,-0.0912548,-0.6639322,-0.32641426,-0.35024545,0.04598383,-0.67777056,-0.7721605,-0.03883932,-0.81514925
UCS-6.0,-0.19476928,-0.7730646,0.015600555,0.24318002,-0.200083,-0.06316712,-0.39430943,-0.03133424,-0.064903244,-0.19260104,0.028135743,-0.07327317,0.45042145,-0.31545356,-0.33406878,0.25147694,-0.5356756,-0.7473615,-0.047301635,-0.7968275
ACC-3.0,-0.09828166,-0.5728909,-0.22161397,-0.8182757,-0.40334234,-0.27130747,-1.1485995,-0.20393804,-0.12438488,-0.30132148,0.026418248,-0.18139297,-0.49519387,-0.05509936,-0.5485697,-0.5127199,-1.989837,-0.039651684,-0.16921902,-0.10348607
BRCA-3.0,-0.33473933,-0.07274273,-0.040525526,-0.079559356,-0.33841687,0.19563477,0.6122681,-0.42670786,-0.02742486,-0.18751174,0.022821963,-0.04120861,0.61780584,0.36458105,0.20249142,-0.48349252,-2.048997,-0.40941742,-0.6606535,-0.11043714
CESC-3.0,0.15142314,-0.3066477,0.40013555,0.2512681,-0.4440288,-0.2140889,0.26123172,-0.08479872,-0.016422521,-0.17968975,0.028461533,-0.11636404,-0.25088003,0.102928385,-0.3731723,-0.6151009,-2.3557773,-0.63414747,-0.09835649,-0.21307084
COAD-3.0,-0.20580687,-0.17650533,-0.16651048,-0.118428715,-0.18883304,-0.16759562,-0.52123576,-0.34808862,-0.004018277,-0.21362689,0.02046426,-0.08606004,-0.14731514,0.15567501,0.101784624,-0.40199986,-2.2390337,-1.0540336,-0.53395265,-0.33578697
ESCA-3.0,-0.08913196,-0.31041282,-0.15594257,0.4965394,0.028045284,-0.1272796,-0.29006797,0.3762946,-0.012229806,-0.21866392,0.043206096,-0.07944773,0.16530535,-0.08408983,-0.3817776,-0.47317055,-2.3368485,-0.5150257,-1.7633204,-0.11532734
GBM-3.0,-0.29139662,-0.2927743,-0.48404276,0.17292906,-0.019598136,0.07534197,-0.33266097,0.21566226,0.09545474,0.011036464,0.0054081297,0.2567872,0.48472205,0.17073111,-0.35258093,-0.6435752,-2.0630555,0.18652678,-0.0021768361,-0.08222265
KICH-3.0,-0.02319581,0.36937347,0.24066617,-0.11416773,-0.2548184,-0.20731705,-0.16751596,-0.31447878,-0.12934026,0.16528764,-0.09341679,0.34486207,-1.3877264,-0.48074403,-0.22528325,-0.15556782,-1.0558006,0.4696747,0.8407695,-0.008841532
KIRC-3.0,0.24882351,0.8582823,0.21974309,0.1877898,-0.13351245,-0.1921029,0.52935463,-0.21221709,-0.07816814,0.12036023,-0.09341679,0.45024168,1.4928782,0.15164746,-0.2674532,-0.19677901,-1.131484,0.67995006,1.0189981,0.31721237
LAML-3.0,-0.14753659,-0.51023114,-0.11602184,-0.007850156,0.075991236,-0.23787293,-1.0023581,-0.85318416,-0.08835032,-0.27130863,0.042461187,-0.13700321,-1.2550703,0.2056747,-0.71269965,-0.35141712,-1.2705941,0.24455963,-1.0376259,-0.102812245
LGG-3.0,-0.26778686,-0.4660553,-0.43910304,0.022301886,0.014780136,0.026014104,-0.61681056,0.27183038,0.10641964,-0.055623375,0.007421054,0.25671643,-1.4622401,0.03323256,-0.52832663,-0.40246287,-2.292243,0.25988817,-0.099627696,0.038742103
LIHC-3.0,-0.32495856,0.07096113,-0.025601154,0.08776424,-0.13332431,0.19032268,-0.53581095,-0.14503807,-0.1327866,0.6523954,-0.042875074,-0.16366574,0.0020742726,-0.68443793,0.78023905,-0.44337624,-1.3438756,0.38968575,-0.49762383,-0.2336982
LUAD-3.0,0.8583492,0.46581927,-0.023927402,0.19738267,0.08841875,-0.046052534,0.10149828,1.3197826,0.05405129,-0.1017704,0.031087525,-0.07473192,-0.66437465,0.44942024,-0.04654844,0.023409393,-0.32000953,0.7009797,0.5736859,0.40855727
LUSC-3.0,0.733557,0.5738943,-0.12419742,0.16656475,0.093154974,-0.03144753,0.18318447,1.2571712,0.073227204,-0.098371886,0.036899865,-0.07533025,0.15053765,0.44067615,0.009391097,-0.07051272,-0.37161282,0.65760815,0.86267585,0.47212353
OV-3.0,0.009786177,-0.41094008,0.10577532,-0.16428272,0.13213766,-0.012631169,-0.7595173,-0.1400666,-0.12271346,0.033697013,0.042502455,-0.06998568,-0.063198835,0.1414488,-0.2594411,-0.59319216,-2.2671435,-0.05773988,0.81286746,-0.23188329
PAAD-3.0,-0.12767178,-0.29347864,-0.19498198,-0.45878997,-0.32904854,-0.036821198,-0.67363805,-0.28811362,-0.11368002,-0.29474488,0.047569264,-0.14619775,-0.255996,-0.42214084,-0.3018558,-0.25448906,-1.1379898,0.342831,-0.1630032,-0.07399279
SKCM-3.0,-0.87808335,0.56521034,-0.015560746,0.17037219,-0.21682414,0.077708356,-1.2276672,-0.3459333,-0.099750556,-0.2558793,0.02397121,-0.15029228,-0.5608909,-0.061230764,-0.48365146,-0.30972883,-1.3775274,0.02863593,0.51671535,0.03173644
STAD-3.0,0.118040234,-0.53410417,0.12616177,-0.80762345,-0.27447483,-0.09148518,-0.21030985,-0.15536067,-0.020690141,-0.21667384,0.02330695,-0.12710251,1.2870375,-0.012266792,-0.30938542,-0.55278647,-2.3629806,-1.0411798,-0.13691047,-0.14849232
TGCT-3.0,-0.26100415,0.9861412,-0.10379246,0.1696319,0.09343877,0.14267127,-0.5370261,-0.876811,0.23390509,0.4605751,-0.051744275,0.063888066,-1.2028008,0.025549043,-0.37700358,-0.25027537,-1.8449641,0.27636462,-0.20367023,0.25218302
THYM-3.0,-0.22184996,-0.37848768,-0.16664328,-0.14795224,0.21941893,-0.2591402,-0.2328432,-0.45242238,-0.010888169,-0.19373964,0.045710467,-0.14514017,-0.035944667,-0.09343847,-0.3495038,-0.28436878,-2.4033365,-0.5422362,0.37644282,-0.057528824
UCEC-3.0,0.113410145,-0.57204694,0.29273877,0.28191957,-0.08694554,-0.11467125,0.20851986,0.03901542,-0.016278606,-0.17113888,0.029958544,-0.101337776,0.10396369,-0.22471887,-0.13004678,-0.5079052,-2.516637,-0.5678741,0.09242925,-0.19886714
UCS-3.0,0.17266014,-0.64195186,0.30631372,0.20113619,-0.16890843,-0.17010681,0.25923824,0.12342366,-0.021835987,-0.17984395,0.0260328,-0.08401157,0.5913595,-0.21627016,-0.14877358,-0.5587289,-2.3714385,-0.52606344,0.11742559,-0.23413308
CESC-7.0,0.52891123,-0.25841525,-0.16449594,0.2302488,-0.33701462,-0.1600594,-0.06372491,-0.09483199,-0.05415328,-0.28415376,0.02403143,-0.09418275,0.75124913,0.10098351,-0.36263016,-0.073737256,-1.739917,-0.9063669,-0.04153875,-0.07506299
KICH-7.0,-0.15981092,0.2866306,-0.18165855,0.115137614,-0.31613702,-0.19412954,-0.34728974,-0.3395729,-0.22713509,0.07609761,0.016910618,-0.3062793,-1.0630436,-0.49160647,0.12517346,-0.017802693,-0.6480933,0.19686463,0.5735892,-0.21598692
LAML-7.0,0.056841534,-0.03498661,-0.18557806,0.3700401,0.14254588,-0.0015708241,-0.26284668,1.3058324,-0.032245345,-0.14470842,0.06623614,-0.12757045,0.2585116,0.57097125,0.27908123,0.22072381,-0.25401795,0.6023288,0.47522986,0.24793485
OV-7.0,-0.4938345,-0.38024637,-0.3172707,-0.0645523,0.0905685,0.12524205,-0.23470306,-0.2835633,-0.034139104,-0.22457866,0.048592,-0.09232589,-0.21736188,0.13107915,-0.35560876,0.018813185,-1.9314811,0.57127327,0.7318272,0.06400418
UCEC-7.0,-0.02510649,-0.5952643,-0.15411064,0.2754999,0.025933836,0.07557417,0.25466377,-0.2106143,-0.0055774054,-0.11922052,0.02660258,-0.0960907,-0.7222253,-0.17235792,-0.29075006,0.08059924,-2.0997121,-0.6652131,0.27789938,-0.09318814
UCS-7.0,-0.26729974,-0.2649807,-0.011817123,0.39718324,-0.050348148,0.20884076,0.28098837,-0.25057796,-0.009649077,-0.1417663,0.023821171,-0.07800399,0.043797858,-0.2852057,-0.21307486,-0.20561829,-1.7079161,-0.7319254,0.22595234,-0.25505054
BLCA-12.0,0.16934344,-0.118028104,0.0319044,0.21757047,-0.1869579,-0.23378275,-0.0011060936,-0.061475415,-8.1748236e-05,-0.17359844,0.039637137,-0.10203547,0.9067016,0.0782731,1.0444021,-0.5260421,-2.242915,-0.4314977,-0.6225069,-0.37982297
BRCA-12.0,-0.20387314,-0.51623297,-0.13869992,-0.056734845,0.4280686,0.30953476,-0.34438026,-0.37650827,-0.0440514,-0.16564366,0.030787788,-0.1246387,-0.3137747,-0.2993127,-0.23605719,-0.39975473,-2.2462535,-0.2685194,0.7718896,-0.41341797
