Instance,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols)
ACC-20.0,0.0020117316913350856,0.011450949470487113,0.006453563963737549,0.011932190997263597,0.007153999248500681,0.004191826529692922,0.00730583794691402,0.01750035332838122,0.0057549793162609535,0.0013089482378325092,0.008503245355839103,0.0052119509999052375,0.08283298021263276,0.025825872112722126,0.005313034373639425,0.3432751522607136,0.003036374804301292,0.021043633855333838,0.015468812567628061,0.07620175105579126
BLCA-20.0,0.023104994748300165,-0.004803192928063638,-0.008544155526721208,0.017040632877675668,0.004076887923688283,0.003956468614566015,0.008464075898660798,0.004905128348645608,0.003497248612007496,-0.0015481725968960773,0.0027907067539845684,0.0037708716922014067,0.055000117391348476,0.006688436739740873,0.044186151813151255,0.3442523635240581,0.012476413908214865,0.004352308031445324,-0.01680862908895989,0.07491853159186551
BRCA-20.0,0.025608889018290705,0.01493727707924974,0.007154812505469494,0.010092456802495018,0.011074974325061639,0.017077144169801467,0.05564798396984409,0.012490163866277305,0.0026743225439613224,0.0005278919512689543,0.0033914423657081913,0.00028139044457689745,0.005889923693459915,0.02102488088085938,0.02128439014554096,0.4019555438452706,0.009457923668539852,0.009615462623563418,0.017088186516656903,0.0645021279130171
CESC-20.0,0.005199967755276888,-0.004043679063160965,0.018712903385887603,0.019326903953900527,0.010900330270013534,0.004377894184725066,0.007110540441085884,0.007806561502305112,0.003937680296894068,-0.0003770898364141267,0.00015169572071274714,0.0033798070393461976,-0.0034579397859244624,0.023738839450490053,0.005533493584101921,0.41140172808883657,0.016044481920313287,0.0036365494335129133,0.009889470283105953,0.07850704970390415
COAD-20.0,-0.0020064536830673527,-0.007991325815593024,0.004918542281377755,0.01919570179227659,0.02422402304649205,0.005240110188129273,0.010011368377887771,0.03029921385290391,0.0016200745829537447,-0.00276346640104425,0.000950078168718684,-0.001088816705295294,0.014331597158315841,0.016060385876008897,-0.008051485242415338,0.4260640487886547,0.010039512064771524,0.006872954614171484,0.009303526828867767,0.08454759855479935
ESCA-20.0,0.000380279898157802,-0.010629522809647624,0.011839606880684226,0.02511478755089894,0.02194437682675415,0.008357077321427393,0.020157045858592203,0.025750803496658668,0.003569480859298826,0.00016854703800703292,0.0012608116097862047,0.0011631028400443451,0.005247910416567739,0.018724035238489013,0.021775520061379977,0.4097115090561505,0.013598497789750108,0.0020090589700098617,0.01141142914443197,0.08022283028147151
GBM-20.0,-0.014142398224737375,0.006544737100143716,-0.0012743525450576525,0.003232483472650624,-0.02109405629676595,-0.0018273401294711942,0.007921438946227556,0.004689372785184406,-0.0049477001400612276,-0.001213713940502149,0.00948703493448934,0.0034580588331656293,0.07725263682293466,0.01959958302311973,-0.001387600576395857,0.35211656710974826,0.006486095836895234,0.0008703609170375549,0.005489002340512664,0.06051697805979509
KICH-20.0,0.015482423416387656,-0.0009819805654800995,0.0015772524442675393,-0.005915714481455754,-0.0012746819896383818,-0.0044969025980367075,0.0032749189388113146,0.003743510115255729,-0.004312806589231738,-5.96419593863689e-06,-0.007699874906742243,-0.011426124351241676,-0.10821655192937552,0.005059161124753822,-0.0024140699480571255,0.24382511217655436,0.002199156773219098,-0.009938314248351917,0.0012699439736569029,0.03202869516955606
KIRC-20.0,0.024978510324788573,0.016496400329744417,0.008434146046521908,0.009965716644450333,0.004314115159134096,-0.0002190372873923684,0.013069431624986073,0.008256094114024762,0.001287992717467954,0.02187891352273087,0.023686010936076776,0.016224706223756463,0.06483051517973974,0.02466364382693362,0.004355119413629944,0.34223815563232973,0.00878794960582409,0.001566511640462334,0.010855432132302683,0.05610686054140095
KIRP-20.0,0.025589291486325563,0.01821395058108118,0.007663033870102901,0.004288060998415427,0.004483939942619056,0.0005264966572766462,0.011152959495212193,0.009163206187158738,0.0017397836443417236,0.021663732359568928,0.027095088642801354,0.018415749866922616,0.04487839865591251,0.023736882459567205,0.004848708906446661,0.3329124167583007,0.008831612797131285,0.0015870982694614942,0.009684560951400292,0.05530221579886568
