Type,Value
WT 30nM CTL,1
WT 30nM CTL,1
WT 30nM CTL,1
WT 30nM siNEK3,0.35943641
WT 30nM siNEK3,0.376079383
WT 30nM siNEK3,0.300046049
Ts13 30nM CTL,1
Ts13 30nM CTL,1
Ts13 30nM CTL,1
Ts13 30nM siNEK3,0.387514928
Ts13 30nM siNEK3,0.424218618
Ts13 30nM siNEK3,0.261037178
