Instance,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
ACC-20q,-0.07346475834527556,-0.05250116268100585,-0.05484175267150585,-0.0477688884037189,0.10842672111050673,-0.22375861172864278,-0.028775859681631266,-0.011629922098823884,-0.05803853069374151,-0.04574049712469904,-0.02298395259544791,0.010617046985218984,0.00308977332848891,-0.25741252419309874,-1.1456829403143522,0.009728567330328055,0.015167748805741343,-0.46670976028880884,-0.02519634001550775,-0.10919795649519388
BLCA-20q,-0.07414039774476452,0.009276488361990118,0.07722169757316238,-0.0573357932638552,-0.0408682832636961,-0.03930568131544199,-0.028638230527037047,-0.009366120045685008,-0.0381434306970151,0.14286440708746612,-0.0522972498204355,0.005963689621720635,0.0025879964499331562,-0.3199748307805304,-1.0535716740464596,-0.03441820032901717,-0.04036170769238948,-0.4924918044469915,0.018196143079792077,-0.19388442726528335
BRCA-20q,-0.01988598420412062,0.044901114330959176,0.08985661050430939,-0.045396104251891334,0.0654338347793141,0.40230170139669025,-0.03872953430128408,-0.012153903155537021,-0.045841576331843874,-0.031157958562535858,-0.022340509670846186,0.006708850599984701,-0.001087756136392016,-0.36753012585942274,-1.1040556964812092,0.08062596683435219,-0.08020401001708596,-0.5334318699030333,-0.024472801178001453,0.03502316296724501
CESC-20q,0.12313418839561652,0.09783363982760603,0.060673382238660714,-0.051901794001296964,-0.005924741337955026,0.09797641329673988,-0.024799353113694377,-0.011638040492094263,-0.05746849944278122,-0.03075110643139988,-0.03866160547575353,0.006477847220268271,0.0025879964499331562,-0.25516913286715687,-1.1039524908234442,-0.08956649417815822,0.021051882177331133,-0.547280211828838,-0.0006475595463731356,-0.029249243418829528
COAD-20q,-0.05577817548421755,0.03977966917727002,-0.003245353106276087,-0.04867422193977032,0.012078129652068382,0.2048974098433455,0.00592596192859744,-0.008568476213803251,-0.05836951164486884,-0.025789050731140205,-0.03290301904167479,0.012805185171058626,-0.0010702355009165824,-0.2405689667309756,-1.1127796699495915,-0.028509989852125786,0.02330615065781154,-0.46262783838579996,-0.03820871829596841,0.02529064120502932
ESCA-20q,0.04851633202528977,0.03751876260078782,0.05932266366418211,-0.04735159465755606,0.03647215210892232,0.20850937721108187,-0.029980784980332256,-0.009102667667398884,-0.12038611378910671,0.047295810404055644,-0.03306350350104818,0.003787624860916777,-0.001087756136392016,-0.25452903163981583,-1.0535704418966663,0.005655458803454487,0.02197470881755748,-0.44213261037547985,0.007743686956530742,0.07002365708118875
GBM-20q,-0.04766334415346543,-0.009872378253593541,-0.01786632696965014,0.05024398475128883,0.04896532276986437,0.10291415967940074,-0.5114397768308975,0.005010692285157763,-0.06110361157824821,-0.04365893550748405,-0.010090748765565297,-0.003170317431834378,-0.03989111244382028,-0.18714699711781782,-1.0830470232660891,0.06658561873320151,0.010616557843432765,-0.4828071215076378,-0.09237669880388232,0.08073059064320971
KICH-20q,-0.0659496363394715,-0.04329788750370181,-0.04616381198199251,-0.052616005055569376,-0.0374494588073067,-0.24746004331038138,-0.013602752890296057,-0.1607977632021049,-0.05767250682274477,-0.04842980488433345,-0.1224246662558394,0.04259044364517657,0.011402823019040081,-0.19299833360405522,-0.8347805305692716,-0.04706922915517351,0.029035788550722922,-0.31033363182655715,0.1749101975435241,-0.12051079035422921
KIRC-20q,-0.06507260195570054,-0.03922434273914042,-0.046146066220538885,-0.04837306224538217,-0.0232523154261638,-0.24570644134571723,-0.012071679485939003,-0.1607977632021049,-0.057793013211830974,-0.05802956759651844,-0.11845325712188422,0.02145118906536882,0.007727070432714912,-0.19299833360405522,-0.8842045211228299,-0.0437873878741823,0.029295915168251047,-0.3102295646812417,0.1867541308414414,0.09239608214085557
KIRP-20q,-0.06533272857322867,-0.04220244034981928,-0.04616381198199251,-0.0496956895275964,-0.02381131986019348,-0.24333608776064022,-0.008498710944698482,-0.1607977632021049,-0.057793013211830974,-0.05454179374322562,-0.11666607982176065,0.03558904741484518,0.007744591068190346,-0.19299833360405522,-0.8998276802751334,-0.0437873878741823,0.029035788550722922,-0.3102295646812417,0.1867541308414414,0.0039473157491702136
