Instance,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
UCEC-20q,-0.07791355,0.1369374,0.28592828,0.11831286,-0.4977049,0.03654914,0.8365021,0.05242718,0.28523546,-0.174829,-0.035267875,0.10043279,0.14377934,2.6058145,1.9714335,-0.13651142,-0.079972774,0.49111414,-0.18831953,-1.037819
UCS-20q,-0.065158404,0.16283117,0.2754186,0.12570137,-0.50307417,0.04627059,0.77595687,0.053078722,0.26464704,-0.15433298,-0.030871773,0.102632135,0.17028937,2.6685824,1.9928366,-0.10154536,0.029806515,0.4967922,-0.1792007,-0.58621025
ACC-1q,-0.081788175,-0.31572783,-0.49707907,-0.09975454,0.009674143,-0.59110045,-0.096243136,0.054861642,-0.07383866,0.056429252,-0.16987446,0.016294358,0.071774185,1.5187052,0.90177876,-0.16425496,0.06387651,-0.3643244,-0.16709283,-1.9252224
BLCA-1q,-0.33264765,0.08992456,0.3847859,0.028474959,0.27098334,0.026185526,-0.021763414,0.058430206,-0.46698952,0.4674289,-0.065510586,0.101761684,0.1005384,2.3011572,1.452616,-0.2256696,0.20889282,0.012639094,0.46065575,0.99886554
BRCA-1q,-0.020807162,0.04706523,0.09975907,0.10709513,-0.6061015,0.0013801327,0.1573642,0.035194416,0.43965122,-0.20953205,-0.045904167,0.06811249,0.078492485,3.3303392,1.590473,-0.35550886,-0.111863874,0.07422192,0.37674522,0.09904793
CESC-1q,-0.651879,-0.07681818,0.35562482,0.020665793,0.17707264,-0.041223217,0.012651335,0.113917485,0.07361199,0.02004672,-0.022129018,0.103647165,0.103129104,2.7945368,1.4476032,-0.43599236,0.08757798,-0.11552864,0.6007799,0.3864208
COAD-1q,-0.0050984016,0.1729764,0.5531913,-0.055410765,0.11845562,0.25221142,0.13980314,0.14039677,-0.59025794,-0.15150113,-0.059483536,0.10133149,0.06300181,2.9636598,1.5659497,0.16686273,0.10066064,0.103267066,0.4709162,-0.054424733
ESCA-1q,-0.25278676,0.282597,0.52045137,-0.3648497,0.31683797,-0.019670766,0.021794569,0.033770356,0.4739131,0.071535125,-0.027521217,0.13814013,0.09630823,3.398596,1.6895351,0.11299129,-0.049908377,0.22254759,-0.33274907,0.49194244
GBM-1q,0.38474688,-0.107147336,-0.25703824,-0.0005161199,-0.067935005,0.11931083,-0.46758506,-0.029902048,-0.002829825,0.035339173,-0.066967934,0.027983636,-0.51256984,2.5160224,1.3561914,0.014701242,0.20916402,0.036205906,0.017206674,1.5590466
KICH-1q,0.1573143,-0.19031069,-0.63010955,-0.10551288,-0.056851543,-0.79588723,-0.12017653,-0.032237127,-0.4503664,-0.036641534,-0.21040703,-0.352803,0.02777836,0.97232336,0.41854644,-0.27769932,0.033147827,-0.25904617,-0.30776814,-1.711411
KIRC-1q,0.26917383,-0.20367984,-0.5491326,-0.04241154,-0.0011703074,-0.87182033,-0.02643111,-0.020987129,-0.75877005,-0.054065604,-0.23431884,-0.3879169,0.03209778,1.1234661,0.3351549,-0.27765647,0.074451916,-0.15608677,-0.5412788,-0.16501956
KIRP-1q,0.1883791,-0.1866126,-0.6163924,-0.07570096,-0.062468816,-0.8777049,-0.085510485,-0.032237127,-0.5861312,-0.052795265,-0.21123262,-0.3906668,0.02777836,1.0885253,0.5401186,-0.23287424,0.045441113,-0.24896368,-0.38190594,-0.03227161
LAML-1q,-0.49625823,-0.5745078,-0.32232347,-0.041150853,-0.007499153,-0.077877775,-0.47905445,-0.016042197,0.15911502,-0.10184761,-0.122404546,-0.006845027,0.053731006,1.1562397,0.34470442,-0.3303983,0.04239561,-0.13718073,-0.9665767,-0.79629993
LGG-1q,0.1522203,-0.20053336,-0.412799,0.017336307,-0.14302683,-0.212631,-0.6390398,-0.12018044,-0.22017251,0.031475924,-0.161488,-0.017706007,-0.5202784,2.1312294,0.90220994,-0.3057878,0.06671564,-0.06953303,-0.56046456,-0.6763014
LIHC-1q,0.13087822,0.11446754,-0.20339343,-0.028305642,-0.23089069,-0.09476263,-0.1435356,-0.090652145,0.35383233,-0.34218705,0.8632641,-0.85964024,0.06359856,2.7944255,1.3955159,0.29947308,0.11925156,0.18246289,0.18256187,-0.09549733
LUAD-1q,0.5490419,0.031633858,-0.18301466,0.17401902,0.036599312,0.20923996,-0.4891772,0.15068516,1.0030894,0.031628385,0.0022959276,0.12063102,0.10178805,2.7209632,1.4436384,-0.2128126,-0.25012356,-0.053940795,0.4559024,1.045763
LUSC-1q,0.5490419,0.031633858,-0.18301466,0.17401902,0.036599312,0.20923996,-0.4891772,0.15068516,1.0030894,0.031628385,0.0022959276,0.12063102,0.10178805,2.7209632,1.4436384,-0.2128126,-0.25012356,-0.053940795,0.4559024,1.045763
OV-1q,-0.2752671,-0.10808781,0.074806936,0.20314974,-0.40623015,-0.0013065897,0.22618206,-0.34365737,0.854292,-0.035890225,-0.19434264,0.11759604,0.11104379,2.926737,1.5718083,-0.017167743,0.036706246,0.08249892,-0.10312384,-0.1783292
PAAD-1q,0.08799601,-0.30100453,-0.21641459,-0.030027097,-0.006515292,0.09959691,0.039790127,0.1391867,1.0888394,-0.28943047,-0.042786047,0.07153351,0.0987868,2.7797947,1.46758,-0.1322667,-0.340636,0.04390622,0.60103357,0.050848745
PRAD-1q,-0.34776425,-0.047313716,0.08972709,-0.111810595,-0.7916812,-0.004508691,-0.30206153,0.061912615,-0.74562097,-0.20566246,-0.032896485,0.076638095,0.07144041,1.9612049,0.6187944,-0.21999776,-0.9413815,-0.11697929,-0.006258718,-0.36631167
SKCM-1q,0.1989387,-0.3159861,-0.22909684,0.48169345,0.4179047,0.07129286,-0.48011053,0.0035973717,0.07267853,0.10989678,-0.03693875,0.052379016,0.10825873,2.5339832,0.9854429,0.44264513,0.10874322,0.1769216,0.4724331,-0.50880015
