Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.758108108108108,0.6272492731915447,0.7429054054054054,0.6591659777505017,0.6749999999999999,0.30002012988415044,0.7932432432432432,0.6416976615156627,0.7233108108108108,0.6030875077322784
2,0.7655405405405405,0.5007468912245565,0.7824324324324324,0.5362801321135686,0.5763513513513514,0.28435537966941055,0.7216216216216216,0.5064317058933246,0.6746621621621622,0.3245102753256449
3,0.8891891891891892,0.6845671001617524,0.8648648648648649,0.5876320637209488,0.5378378378378378,0.24860271153252705,0.8932432432432432,0.653139792367294,0.8645270270270271,0.7590601931398941
4,0.7844594594594595,0.5747915596339359,0.8371621621621622,0.5878868912950592,0.4986486486486487,0.22071316390261222,0.7986486486486486,0.5940116081404477,0.8449324324324324,0.7845477137892448
5,0.8202702702702703,0.6144410873443183,0.85,0.6695386196008795,0.48445945945945945,0.19452382595298204,0.8317567567567568,0.5914387690624188,0.8594594594594595,0.6812543324780167
6,0.8304054054054055,0.6921908561969798,0.8317567567567568,0.6723205715717698,0.47297297297297297,0.20247204418143502,0.8027027027027026,0.6764966718077161,0.7685810810810811,0.6688550026640556
7,0.7979452054794521,0.6055385919446659,0.7363013698630138,0.5386378469627611,0.5726027397260274,0.2673147158874757,0.7664383561643836,0.5469851567013155,0.7801369863013699,0.5822170786730566
8,0.7260273972602739,0.5797861853812788,0.7277397260273972,0.47119715692470604,0.44178082191780826,0.1828068223482684,0.7972602739726027,0.5760041822185532,0.6773972602739726,0.4307530826729944
9,0.658904109589041,0.5406227653250105,0.7595890410958904,0.53214023079062,0.4931506849315069,0.24056626486416038,0.7000000000000001,0.5200297196290514,0.7472602739726029,0.6254539971677069
10,0.6916785206258891,0.44059256616613435,0.6788762446657184,0.4350222101894444,0.471194879089616,0.18242558681083654,0.6980796586059744,0.5091550383598357,0.6998577524893315,0.5421194114318053
Average,0.7722528205927629,0.5860526876570177,0.7811628003273642,0.5689821700920259,0.5223999395935228,0.23238006450338583,0.7802994504959176,0.581539030569562,0.764012524601025,0.6001858595074698
