Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.7629407351837959,0.658258609742751,0.72768192048012,0.6697503388933493,0.4531132783195799,0.38184624337447715,0.7321830457614403,0.6087645420252825,0.731807951987997,0.6596733947375775
2,0.7269317329332333,0.6862717996858259,0.6789197299324832,0.6423049222384053,0.48162040510127535,0.44700558272533497,0.6699174793698424,0.6373672891678128,0.6789197299324831,0.6465166713016881
3,0.7089272318079519,0.6346354586399938,0.6811702925731433,0.5802091299669634,0.5746436609152287,0.4864751612043585,0.7119279819954989,0.7069966110281847,0.6597899474868717,0.5896748972760503
4,0.6849212303075769,0.6294208643681841,0.6909227306826706,0.5484424013135052,0.5851462865716429,0.45644130803552174,0.6785446361590398,0.5394795342212533,0.7344336084021006,0.6564800648779465
5,0.7756939234808702,0.7601306763705841,0.7711927981995499,0.7165355586466479,0.6099024756189046,0.45591441896550916,0.8147036759189797,0.8165357752988935,0.72768192048012,0.633452789346868
6,0.6369092273068268,0.49510726845552144,0.6579144786196549,0.5288236858045825,0.5378844711177795,0.4658707940534217,0.6151537884471118,0.4864953051358844,0.6286571642910729,0.5215050995318435
7,0.7179294823705926,0.601342389257448,0.7149287321830458,0.6064661876471475,0.5251312828207051,0.5473762272643199,0.6736684171042762,0.5588492857890688,0.7591897974493623,0.6175091404001755
8,0.7666666666666666,0.6592953627781152,0.7782945736434108,0.6476542096610164,0.5356589147286821,0.4894794376504198,0.7534883720930232,0.6982572375152343,0.7282945736434108,0.6420241250328976
9,0.7534883720930233,0.7132600423684056,0.7759689922480619,0.6821873337350995,0.5837209302325582,0.5904992861302907,0.7612403100775194,0.7020493621574383,0.7279069767441861,0.6223388642968581
10,0.6635658914728682,0.511282435244742,0.6263565891472869,0.5258358613568365,0.5302325581395348,0.4054460081245892,0.6372093023255814,0.4911926888318699,0.5782945736434109,0.43381077084312997
Average,0.7197974493623406,0.6349004906911571,0.7103350837709428,0.6148209629263554,0.5417054263565891,0.47263544675282426,0.7048037009252313,0.6245987631170923,0.6954976244061015,0.6022985817645035
