Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.7796511627906977,0.7037959527010671,0.7622093023255814,0.6955726197485899,0.6476744186046511,0.5111729250044121,0.7383720930232558,0.6644689766585563,0.775,0.6860424209279502
2,0.7290697674418605,0.5104567671799489,0.7395348837209302,0.5560380481481814,0.5790697674418605,0.33985643732212933,0.7302325581395348,0.5354817558897514,0.6918604651162791,0.4872416726578541
3,0.8406976744186047,0.6761009373818043,0.8127906976744186,0.6106250659696615,0.6186046511627907,0.43876086683993987,0.8162790697674419,0.6126905948682477,0.8005813953488372,0.6497178317246924
4,0.8569767441860465,0.8629282254035806,0.8220930232558139,0.7992943434609556,0.516279069767442,0.3572294644701845,0.8104651162790698,0.8185623416926933,0.8325581395348838,0.801654630619099
5,0.8372093023255813,0.7486081246227019,0.8674418604651163,0.7208798958467955,0.6383720930232559,0.4916571160034623,0.8162790697674418,0.6475090219805246,0.8023255813953488,0.6653471420866642
6,0.8162790697674418,0.7697000759049883,0.8174418604651164,0.6662670289631936,0.6337209302325582,0.38108114183471026,0.7930232558139535,0.7234923595656255,0.8133720930232557,0.7508307937277168
7,0.7395348837209302,0.6184656717951291,0.7627906976744186,0.6752488965341776,0.6453488372093023,0.43734114982326244,0.7418604651162791,0.6504192246865625,0.7703488372093023,0.6732348718683139
8,0.7453488372093023,0.5070118254664667,0.7755813953488373,0.5109494628327016,0.6930232558139535,0.5828229877377873,0.7546511627906977,0.5102347721300824,0.7558139534883721,0.49907867731397143
9,0.7767441860465116,0.6242298333202698,0.7302325581395348,0.5746123017972019,0.6895348837209303,0.5793116427409266,0.7151162790697675,0.5646631097682008,0.7430232558139536,0.5818105868155112
10,0.7258261933904528,0.6595192625939175,0.7209302325581395,0.6028706116021778,0.6205630354957161,0.3975361954521368,0.6756425948592412,0.6121938138301637,0.7172582619339045,0.5869158809673609
Average,0.784733782129743,0.6680816676369874,0.7811046511627907,0.6412358274903637,0.6282190942472461,0.45167699272289513,0.7591921664626683,0.6339715971070409,0.7702141982864137,0.6381874508709134
