Arm,Type,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols),Label
20q,ACC,0.330827044776778,2.608018305866942,2.9563728352472896,3.24771421465027,,2.152862131355391,-7.141504066586653,,,,,,0.39675370281018757,,,0.002890173,0.01734104,-0.15306907683946286,,0.12140575079872204,1
20q,BLCA,1.0,2.292102876567351,1.297568150181804,1.9060874723044494,,,-5.795887198041998,,,,,,0.5066642359035365,1.825226502378671,3.4587436845140322,0.002890173,0.01734104,-0.46941183564101946,-1.0112224273668804,0.12140575079872204,1
20q,BRCA,0.13636813965663577,1.992310297274815,1.6350233640375376,2.018427118282082,0.176034,2.097438727761733,-2.964021894787398,0.5851560204285714,,,,,0.10841997340194301,1.6124096257971865,1.7448001313774055,0.002890173,0.01734104,-0.8490231462028873,-0.6832583968695145,0.12140575079872204,1
20q,CESC,0.4636793997992564,1.5534282193375013,0.9996052623670786,2.0592585622046213,,,-6.891812715578901,,,,,,0.6155361210674555,,,0.002890173,0.01734104,-0.5643146632814864,,0.12140575079872204,1
20q,COAD,0.38232121491346943,2.663409511740574,1.9271864018412868,2.7460710618006035,0.18574724999999997,1.4481285564417528,-2.9442861709216075,0.7935244509999999,,,,,0.3230116466695711,1.89634908548014,2.4106005247663176,0.002890173,0.01734104,-0.5010461115211751,-0.027330335874779847,0.12140575079872204,1
20q,ESCA,0.3963883636832753,2.206393689531404,1.447848691653012,1.3594596526496334,0.21325024999999997,1.041503668198936,-5.484707790472277,0.4183115307142857,,,,,0.28342630440403044,1.7179179621632876,1.999789256374597,0.002890173,0.01734104,-0.2796061803600855,-0.027330335874779847,0.12140575079872204,1
20q,GBM,0.06252066532503335,2.3954138314271054,2.357589735172283,2.7602310699586425,0.32806599999999997,2.127163868690315,-3.15248588531592,3.2956339635591223,2.118344652965651,2.1160920175469897,2.0385732954621085,2.037599410161775,0.3007660665492044,,,0.002890173,0.01734104,-0.02653197331884023,,0.12140575079872204,1
20q,KICH,0.6141032282693656,3.306825044120904,2.37386554793263,3.5026445035884697,,,-7.132515173621753,,2.180482155608032,2.2160299567003654,2.031265769030515,2.034798122992891,0.45094670977809925,1.6196212066656808,2.035723102617358,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,0
20q,KIRC,0.6141032282693656,3.306825044120904,2.37386554793263,3.5026445035884697,,,-7.132515173621753,,2.180482155608032,2.2160299567003654,2.031265769030515,2.034798122992891,0.32734039807350435,1.6196212066656808,2.035723102617358,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,1
20q,KIRP,0.6141032282693656,3.306825044120904,2.37386554793263,3.5026445035884697,,,-7.132515173621753,,2.180482155608032,2.2160299567003654,2.031265769030515,2.034798122992891,0.15666823176731914,1.6196212066656808,2.035723102617358,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,1
20q,LAML,0.9680970662477315,2.782945247475163,5.1882876581000374,4.575560526083146,0.23632599999999998,2.0775226004539906,-7.1424251853408265,3.8730850952380953,,,,,0.9346638879249295,1.7456358346912204,1.9093806656389716,0.002890173,0.01734104,2.9470899594157918,-0.6832583968695145,0.12140575079872204,0
20q,LGG,0.06252066532503335,2.3954138314271054,2.357589735172283,2.7602310699586425,0.32806599999999997,2.127163868690315,-3.15248588531592,3.2956339635591223,2.118344652965651,2.1160920175469897,2.0385732954621085,2.037599410161775,0.6730706891770898,,,0.002890173,0.01734104,-0.02653197331884023,,0.12140575079872204,0
20q,LIHC,0.8763382871501758,3.302009076923548,5.001637715632786,4.4013504697552115,0.417387,2.475796413075112,-7.116337460496536,8.520767049375,2.1480820516011,2.266026308069877,2.0289779056323405,2.0401137354295575,0.5689637051199941,2.19722478738511,2.9875783296280947,0.002890173,0.01734104,0.8592277513255183,0.3006336946225875,0.12140575079872204,1
20q,LUAD,0.53245313918974,1.934413017344038,1.7154175106036598,2.796080009191371,0.22728175,1.1184002996230722,-5.967059533940045,2.269539392,,,,,0.904881765658844,0.9873484658779972,1.2869890313109795,0.002890173,0.01734104,-0.46941183564101946,-1.0112224273668804,0.12140575079872204,1
20q,LUSC,0.53245313918974,1.934413017344038,1.7154175106036598,2.796080009191371,0.22728175,1.1184002996230722,-5.967059533940045,2.269539392,,,,,0.3019248419974481,0.9873484658779972,1.2869890313109795,0.002890173,0.01734104,-0.46941183564101946,-1.0112224273668804,0.12140575079872204,1
20q,OV,0.3802060741304973,1.8822036758156715,3.2849864284836396,2.760303250036729,0.205539,2.5873934338172355,-6.1524517249688815,0.99454448825,2.006693128924996,2.2349702807235685,,,0.8849132296089602,1.465459013580502,2.913285407282475,0.002890173,0.01734104,-0.21633762859977418,-0.3552943663721472,0.12140575079872204,1
20q,PAAD,0.9062203099501682,5.357515484225024,2.7717187071278087,5.648568392947656,,1.876283383628298,-7.142647253035031,,,,,,0.22476696451706252,2.594038501032825,1.9305915425237987,0.002890173,0.01734104,-0.2796061803600855,-0.6832583968695145,0.12140575079872204,1
20q,PRAD,0.8860735369188677,2.8928965683124765,1.8418690772001063,2.9447454323757554,0.19308775,2.345928690440504,-1.8049361386121037,2.2352857805,,,,,0.5864453560133183,3.650077816221172,2.193625069194104,0.002890173,0.01734104,-0.5326803874013307,0.9565617556173222,0.12140575079872204,0
20q,SKCM,0.6204312676485444,2.7161858860538124,3.0713885729068533,3.684557381397599,0.35546825,1.1423904949486614,-4.13604602855451,1.0388292494,,,,,0.0,2.462411333933868,1.927772892883564,0.002890173,0.01734104,0.2581765096025608,-0.027330335874779847,0.12140575079872204,1
20q,STAD,0.4271586617815336,2.1990031187147436,2.113568216724634,3.386644420910739,0.22599575,1.958022780324366,-4.0926074064598525,,,,,,0.2709458483285292,,,0.002890173,0.01734104,-0.595948939161642,,0.12140575079872204,1
20q,TGCT,0.9999999999999059,4.7987774658344,4.115276698775604,7.21238646486158,0.31769250000000004,1.443900527623826,-7.142749325331829,3.4154678913090906,2.2677868380553634,2.267379850098022,2.041241452319315,2.041241452319315,0.9621709091771302,,,0.002890173,0.01734104,3.1368956146967255,,0.12140575079872204,0
20q,THYM,0.6623575271040851,2.253935973056315,1.21518375676754,2.366988682249165,0.12540525,0.9474430172051276,-4.729629952027786,0.9085162914,,,,,0.7770197480173889,2.946605786777629,,0.002890173,0.01734104,-0.5326803874013307,0.6285977251199548,0.12140575079872204,0
20q,UCEC,0.7259581914280399,1.7385967667134476,0.7139235812649258,1.4855055714217733,0.2191885,2.7355233013442155,-4.102730106581608,0.23377402025,,,,,0.8630235853557913,2.107661114589442,2.6127252839905104,0.002890173,0.01734104,-0.7224860426822647,-0.6832583968695145,0.12140575079872204,1
20q,UCS,0.7259581914280399,1.7385967667134476,0.7139235812649258,1.4855055714217733,0.2191885,2.7355233013442155,-4.102730106581608,0.23377402025,,,,,0.48559397717439795,2.107661114589442,2.6127252839905104,0.002890173,0.01734104,-0.7224860426822647,-0.6832583968695145,0.12140575079872204,1
1q,ACC,0.3377539941298242,2.5000272557551013,2.9425739080586286,3.101373650258627,,2.04445632789087,-4.835313476067814,,,,,,0.23651127975192585,,,0.008667389,0.01191766,-0.20638666466583677,,0.0803357314148681,0
1q,BLCA,0.12948022737692325,1.4085913394967728,1.9787350141969926,1.1325758200968252,,,-6.749992580283838,,,,,,0.4298252390012071,2.1491795121386668,3.051157692582024,0.008667389,0.01191766,-0.8080056582306269,-0.3376687575981451,0.0803357314148681,1
1q,BRCA,0.16867461364885492,1.9519474682466664,1.6680102111546349,2.4709035800698205,0.176707,2.2829308987353123,-1.926010359473133,0.6204527716666667,,,,,0.09757151865280732,1.8332944850159685,1.8366668299255902,0.008667389,0.01191766,-0.7154488899898899,-0.505143692956634,0.0803357314148681,1
1q,CESC,0.2516324086574071,1.880101246393934,1.5971283654879933,1.8867578789263275,,,-6.017104051064433,,,,,,0.33060716251211947,,,0.008667389,0.01191766,-0.7154488899898899,,0.0803357314148681,1
1q,COAD,0.8637549163298138,2.042949662724134,1.8699272564659548,2.5224905328399974,0.155691,1.750400402817244,-3.0035046047094593,1.0464118795,,,,,0.33748312480095083,2.00616717443032,2.231042339416059,0.008667389,0.01191766,-0.5187657574783239,-0.002718886881169389,0.0803357314148681,1
1q,ESCA,0.2700420397174424,1.5475581138816894,2.0401019241660228,1.54443596146421,0.1496515,0.9601093725349272,-2.00202210843253,0.9206043823333332,,,,,0.4137965476717025,2.044984841415183,1.6185796419032965,0.008667389,0.01191766,-0.5071961614482318,-0.505143692956634,0.0803357314148681,1
1q,GBM,0.0,2.019293285552764,2.3756090836917,2.540022350150763,0.21397599999999994,2.404881602965334,-3.0640327399379403,2.7380208868,2.234827632142168,2.048236062364986,2.0412414523193148,2.035517071579684,0.6461198798237777,,,0.008667389,0.01191766,-0.18324747260565255,,0.0803357314148681,1
1q,KICH,0.7056082137285251,2.5177058438438116,2.143872182497881,3.622237689714033,,,-5.7133776833923084,,2.116096445296152,2.2677868380553634,2.04124103003221,2.0412411936917234,0.6539821893039658,2.2683198372606,2.4082569145112016,0.008667389,0.01191766,-0.32208262496675794,-0.002718886881169389,0.0803357314148681,-1
