Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.6523255813953488,0.6363665407816647,0.7482558139534884,0.7029709114835858,0.6930232558139535,0.4546100567261879,0.7232558139534885,0.6194428355918145,0.6261627906976746,0.6240051665070349
2,0.6686046511627907,0.5795504036224608,0.7273255813953488,0.6154960214278394,0.5965116279069768,0.3570187301029636,0.672093023255814,0.5681925165570003,0.6529069767441861,0.605831284943127
3,0.813953488372093,0.5817541064677435,0.7796511627906976,0.5595563388403432,0.5383720930232558,0.3141318828401506,0.8395348837209302,0.6357031735769592,0.7941860465116279,0.6438923552293118
4,0.7872093023255815,0.772052425142693,0.8308139534883721,0.786007697196418,0.4441860465116279,0.28154555587013164,0.7953488372093023,0.7959284222050134,0.8656976744186047,0.8568925518925519
5,0.791860465116279,0.6949470445453483,0.7953488372093024,0.6723905356602887,0.6104651162790699,0.3832573637076281,0.763953488372093,0.6338110068199632,0.7604651162790697,0.5906559467221232
6,0.8162790697674419,0.6790324703906361,0.8209302325581395,0.7499335800698789,0.4848837209302326,0.282950717268329,0.8075581395348838,0.7346045324962975,0.7761627906976745,0.7146575473137973
7,0.7267441860465116,0.5959638243361015,0.7180232558139533,0.679844124309727,0.536046511627907,0.35591560462313504,0.7767441860465116,0.7349371740079331,0.7017441860465116,0.5580527633701008
8,0.7197674418604652,0.544543698898417,0.7162790697674418,0.4832788743046421,0.47325581395348837,0.3507972856397809,0.7697674418604651,0.5721690252630025,0.702906976744186,0.49665165259987915
9,0.613953488372093,0.4982108812826161,0.6709302325581395,0.4866592404328029,0.37790697674418605,0.2902995397231121,0.591860465116279,0.46896416432216315,0.6569767441860466,0.5694578123538881
10,0.6487148102815178,0.5254417155005193,0.6768665850673194,0.49002698948915113,0.5887392900856794,0.33838667684451784,0.6682986536107711,0.5613865777486167,0.6640146878824968,0.5353402547587607
Average,0.7239412484700123,0.61078631109682,0.7484424724602203,0.6226164313214677,0.5343390452876378,0.34089134133459364,0.7408414932680538,0.6325139428588763,0.7201223990208079,0.6195437335690575
